Año,ID_estado,Nombre_estado,ID_municipio,Municipio,Partido,Votos,Votos_validos,Votos_candidato_sin_registro,Votos_nulos,Total_de_votos,Lista_nominal,votos_coalicion,Coalición
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PAN_PRS,12818,29183,13,987,30170,48403,12818,Sí
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PRI_PVEM,10037,29183,13,987,30170,48403,10037,Sí
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PRI_PVEM_NUAL,0,29183,13,987,30170,48403,351,Sí
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PRD_PT_MC,4975,29183,13,987,30170,48403,4975,Sí
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,NUAL,351,29183,13,987,30170,48403,351,No
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,MORENA,412,29183,13,987,30170,48403,412,No
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,PH,354,29183,13,987,30170,48403,354,No
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,ES,223,29183,13,987,30170,48403,223,No
2015,3,BAJA CALIFORNIA SUR,1,COMONDU,MHTG,0,29183,13,987,30170,48403,0,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PAN_PRS,9048,21417,14,845,22262,37887,9048,Sí
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PRI_PVEM,4210,21417,14,845,22262,37887,4210,Sí
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PRI_PVEM_NUAL,0,21417,14,845,22262,37887,6191,Sí
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PRD_PT_MC,939,21417,14,845,22262,37887,939,Sí
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,NUAL,6191,21417,14,845,22262,37887,6191,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,MORENA,566,21417,14,845,22262,37887,566,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,PH,0,21417,14,845,22262,37887,0,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,ES,298,21417,14,845,22262,37887,298,No
2015,3,BAJA CALIFORNIA SUR,2,MULEGE,MHTG,151,21417,14,845,22262,37887,151,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PAN_PRS,41286,100132,313,2878,103010,186574,41286,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI_PVEM,0,100132,313,2878,103010,186574,0,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRI_PVEM_NUAL,28226,100132,313,2878,103010,186574,28226,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PRD_PT_MC,15458,100132,313,2878,103010,186574,15458,Sí
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,NUAL,0,100132,313,2878,103010,186574,0,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,MORENA,7327,100132,313,2878,103010,186574,7327,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,PH,3080,100132,313,2878,103010,186574,3080,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,ES,4442,100132,313,2878,103010,186574,4442,No
2015,3,BAJA CALIFORNIA SUR,3,LA PAZ,MHTG,0,100132,313,2878,103010,186574,0,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PAN_PRS,31114,74088,201,2176,76264,171602,31114,Sí
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PRI_PVEM,0,74088,201,2176,76264,171602,0,Sí
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PRI_PVEM_NUAL,9913,74088,201,2176,76264,171602,9913,Sí
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PRD_PT_MC,24545,74088,201,2176,76264,171602,24545,Sí
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,NUAL,0,74088,201,2176,76264,171602,0,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,MORENA,4624,74088,201,2176,76264,171602,4624,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,PH,1399,74088,201,2176,76264,171602,1399,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,ES,2292,74088,201,2176,76264,171602,2292,No
2015,3,BAJA CALIFORNIA SUR,4,LOS CABOS,MHTG,0,74088,201,2176,76264,171602,0,No
2015,3,BAJA CALIFORNIA SUR,5,LORETO,PAN_PRS,4807,8205,0,113,8318,11503,4807,Sí
2015,3,BAJA CALIFORNIA SUR,5,LORETO,PRI_PVEM,0,8205,0,113,8318,11503,0,Sí
2015,3,BAJA CALIFORNIA SUR,5,LORETO,PRI_PVEM_NUAL,2807,8205,0,113,8318,11503,2807,Sí
2015,3,BAJA CALIFORNIA SUR,5,LORETO,PRD_PT_MC,303,8205,0,113,8318,11503,303,Sí
