Año,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,Partido,Votos,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,votos_coalicion,Coalición
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,PAN,111404,210350,133,6481,216964,651231,111404,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,PRI,14146,210350,133,6481,216964,651231,14146,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,PRD,17514,210350,133,6481,216964,651231,17514,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,PT,1656,210350,133,6481,216964,651231,1656,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,PVEM,3089,210350,133,6481,216964,651231,3089,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,MC,2212,210350,133,6481,216964,651231,2212,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,MORENA,52944,210350,133,6481,216964,651231,52944,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,UPM,1459,210350,133,6481,216964,651231,1459,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,PLA,2892,210350,133,6481,216964,651231,2892,No
2019,1,AGUASCALIENTES,1,AGUASCALIENTES,NAA,3034,210350,133,6481,216964,651231,3034,No
2019,1,AGUASCALIENTES,2,ASIENTOS,PAN,6848,21802,8,519,22329,34499,6848,No
2019,1,AGUASCALIENTES,2,ASIENTOS,PRI,3687,21802,8,519,22329,34499,3687,No
2019,1,AGUASCALIENTES,2,ASIENTOS,PRD,178,21802,8,519,22329,34499,178,No
2019,1,AGUASCALIENTES,2,ASIENTOS,PT,214,21802,8,519,22329,34499,214,No
2019,1,AGUASCALIENTES,2,ASIENTOS,PVEM,211,21802,8,519,22329,34499,211,No
2019,1,AGUASCALIENTES,2,ASIENTOS,MC,321,21802,8,519,22329,34499,321,No
2019,1,AGUASCALIENTES,2,ASIENTOS,MORENA,9585,21802,8,519,22329,34499,9585,No
2019,1,AGUASCALIENTES,2,ASIENTOS,PLA,362,21802,8,519,22329,34499,362,No
2019,1,AGUASCALIENTES,2,ASIENTOS,NAA,396,21802,8,519,22329,34499,396,No
2019,1,AGUASCALIENTES,3,CALVILLO,PAN,8752,20251,18,1023,21292,46919,8752,No
2019,1,AGUASCALIENTES,3,CALVILLO,PRI,770,20251,18,1023,21292,46919,770,No
