ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,23,108,1179,2164,1794,14,447,112,38,20,41,1,4,0,4,,,,,,,,,,,,,,,,,5926,10,283,6219,9268,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_001.pdf
8,CHIHUAHUA,2,ALDAMA,20,37,1525,941,2657,104,156,62,3799,1073,158,13,29,10,1,10,,,,,,,,,,,,,,,,,10538,9,541,11088,19842,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_002.pdf
8,CHIHUAHUA,3,ALLENDE,15,18,1911,2083,,29,49,114,174,298,58,65,14,4,0,14,,,,,,,,,,,,,,,,,4813,0,194,5007,7259,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_003.pdf
8,CHIHUAHUA,4,AQUILES SERDAN,3,19,1161,3105,354,113,63,87,89,776,140,4,20,9,4,4,,,,,,,,,,,,,,,,,5929,2,224,6155,11922,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_004.pdf
8,CHIHUAHUA,5,ASCENSION,21,34,3207,2985,91,81,130,158,35,1622,47,90,30,27,2,9,,,,,,,,,,,,,,,,,8514,2,441,8957,17920,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_005.pdf
8,CHIHUAHUA,6,BACHINIVA,18,18,1397,837,75,,67,142,,815,22,,22,9,0,7,,,,,,,,,,,,,,,,,3393,0,174,3567,5601,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_006.pdf
8,CHIHUAHUA,7,BALLEZA,14,24,939,4989,,,97,45,,2052,38,12,28,19,7,22,,,,,,,,,,,,,,,,,8248,2,490,8740,13068,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_007.pdf
8,CHIHUAHUA,8,BATOPILAS,11,17,1202,1744,94,,,82,,,,30,,,,,,,,,,,,,,,,,,,,,3152,0,529,3681,8191,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_008.pdf
8,CHIHUAHUA,9,BOCOYNA,22,42,1374,3672,53,45,119,4876,161,2106,60,,25,16,0,19,,,,,,,,,,,,,,,,,12526,7,923,13456,20625,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/ACMA2018_009.pdf
8,CHIHUAHUA,10,BUENAVENTURA,26,38,3313,3663,,,388,174,,1718,130,55,41,29,9,17,,,,,,,,,,,,,,,,,9537,0,363,9900,18426,http://www.ieechihuahua.org.mx/public/sistema/archivos/repositorio_actas/JIN-228_2018.pdf
