ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCU,MORENA,ES,MVC,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRI_PVEM_NA_PCU,PRI_PVEM_NA,PRI_PVEM_PCU,PRI_NA_PCU,PVEM_NA_PCU,PRI_PVEM,PRI_NA,PRI_PCU,PVEM_NA,PVEM_PCU,NA_PCU,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,CAND_IND41,CAND_IND42,CAND_IND43,CAND_IND44,CAND_IND45,CAND_IND46,CAND_IND47,CAND_IND48,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,ACACOYAGUA,6,18,941,442,56,70,1665,56,713,1668,1193,43,415,25,24,5,1,40,16,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7391,0,330,7721,11832,
7,CHIAPAS,2,ACALA,11,27,85,1011,219,85,1330,58,60,3885,677,65,1426,20,10,3,4,7,5,2,7,,,,,,,,,,,,,,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10233,20,500,10753,14979,
7,CHIAPAS,3,ACAPETAHUA,14,37,44,309,39,117,6053,39,1338,822,835,48,3120,8,0,0,1,102,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12890,1,790,13681,20009,
7,CHIAPAS,112,ALDAMA,2,7,,1403,,17,1128,,10,10,34,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2613,0,172,2785,3757,
7,CHIAPAS,4,ALTAMIRANO,9,40,61,7061,141,105,7145,40,35,25,384,61,59,6,4,2,3,7,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15148,1,764,15913,20182,
7,CHIAPAS,5,AMATAN,10,27,,1903,,229,693,,,2558,3611,76,53,,,,,26,31,5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9213,0,455,9668,14462,
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,40,269,3838,1416,143,3797,301,33,3382,525,18,115,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13837,0,0,13837,21173,
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,11,,1986,,71,1154,,,1652,287,15,21,,,,,13,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210,2,317,5529,6293,
7,CHIAPAS,8,ANGEL ALBINO CORZO,12,34,,441,91,302,3549,1290,2365,726,1957,128,138,,,,,113,32,10,37,,,,,,,,,,,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11591,0,809,12400,18826,
7,CHIAPAS,9,ARRIAGA,25,58,883,3745,560,263,1691,757,490,5221,3480,127,462,,,,,86,28,5,47,,,,,,,,,,,,,,,,342,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18426,23,937,19386,30789,
