ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PPG,IHG,CG,PSM,PSG,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,MORENA_ES,C_COMUN_PAN_PRD,C_COMUN_PRD_MC,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
12,GUERRERO,1,ACAPULCO DE JUAREZ,381,1001,11376,68528,22639,6222,27739,6772,3992,136301,10095,1532,1339,4641,12780,1073,820,394,113,231,2962,2392,,,,,,,,,,321941,252,15552,337745,582951,
12,GUERRERO,2,AHUACUOTZINGO,26,39,3017,2965,3081,63,73,1641,561,1026,29,9,108,2,,10,,,,,41,10,,,,,,,,,,12636,0,509,13145,18263,
12,GUERRERO,3,AJUCHITLAN DEL PROGRESO,43,58,229,9618,783,19,163,1017,32,4157,33,,3,,,,14,4,3,15,,14,,,,,,,,,,16104,0,786,16890,26305,
12,GUERRERO,4,ALCOZAUCA DE GUERRERO,18,29,18,2112,1735,17,1751,114,17,951,,9,1496,,,,4,5,0,7,,,,,,,,,,,,8236,0,581,8817,13773,
12,GUERRERO,5,ALPOYECA,5,10,11,1023,18,21,354,9,,736,12,414,,229,237,458,0,0,1,2,11,13,,,,,,,,,,3549,0,243,3792,5365,
12,GUERRERO,6,APAXTLA,16,20,5,577,641,13,104,1288,137,935,,835,,,592,,,,,,16,,,,,,,,,,,5143,0,222,5365,7915,
12,GUERRERO,7,ARCELIA,45,60,131,8294,1396,29,86,55,57,3913,48,8,,67,,,1,1,1,7,,39,,,,,,,,,,14133,6,794,14933,23345,
12,GUERRERO,8,ATENANGO DEL RIO,10,13,7,1250,39,13,1895,8,14,155,22,2,22,1135,,,0,0,0,1,28,0,,,,,,,,,,4591,0,190,4781,6387,
12,GUERRERO,9,ATLAMAJALCINGO DEL MONTE,9,12,2,23,17,737,202,491,,1325,25,12,,,,9,1,0,0,1,,7,,,,,,,,,,2852,0,163,3015,4143,
12,GUERRERO,10,ATLIXTAC,22,39,2983,520,5294,57,1175,29,1166,443,,59,18,11,,,,,,,4,,,,,,,,,,,11759,3,1101,12863,17267,
12,GUERRERO,11,ATOYAC DE ALVAREZ,67,96,281,3763,6885,317,284,633,2260,4560,306,1100,140,93,23,139,47,38,11,55,71,74,,,3358,,,,,,,24438,2,1759,26199,43820,
12,GUERRERO,13,AZOYU,17,23,37,2306,865,253,37,451,20,3704,115,20,,,,6,,,,,114,45,,,,,,,,,,7973,0,283,8256,11070,
12,GUERRERO,14,BENITO JUAREZ,15,25,157,107,3319,3908,20,149,25,720,70,2,,128,11,,17,6,2,17,,8,,,,,28,,,,,8694,1,462,9157,12547,
12,GUERRERO,15,BUENAVISTA DE CUELLAR,11,20,960,73,740,1547,55,186,635,2307,157,7,77,7,,,,,,,,,69,,,,,,,,,6820,0,246,7066,9994,
12,GUERRERO,16,COAHUAYUTLA DE JOSE MARIA IZAZAGA,29,33,11,72,97,2954,11,22,,3353,291,3,,,,,0,1,1,0,201,,,,,,,,,,,7017,107,1,7125,9323,
12,GUERRERO,17,COCULA,24,28,22,1806,1251,40,460,574,2094,502,18,12,2,1,,5,,,,,55,59,,,,,,,,,,6901,0,443,7344,11598,
12,GUERRERO,18,COPALA,14,21,131,1599,3254,222,35,471,82,534,37,26,167,130,,13,,,,,79,6,47,,,,,,,,,6833,0,494,7327,10586,
12,GUERRERO,19,COPALILLO,10,21,1344,36,672,927,311,357,933,289,43,6,619,23,1341,51,,,,,,1,,,,,,,,,,6953,596,544,8093,10644,
12,GUERRERO,20,COPANATOYAC,15,28,26,3571,3252,16,1106,21,21,329,9,5,,,103,,6,7,0,9,,0,,,,,,,,,,8481,0,664,9145,12951,
12,GUERRERO,21,COYUCA DE BENITEZ,59,102,1027,9687,2201,567,512,4535,206,8341,2085,430,536,227,88,13,207,37,31,108,315,463,,,,,,,,,,31616,1,1567,33184,52420,
12,GUERRERO,22,COYUCA DE CATALAN,56,73,200,2550,10036,77,260,,73,3365,206,26,,,4,,,,,,26,25,,,,,,,,,,16848,0,931,17779,31923,
12,GUERRERO,23,CUAJINICUILAPA,28,41,777,2098,313,332,78,199,68,7438,69,33,76,,,17,14,0,0,0,75,39,,,,,,,,,,11626,1,387,12014,18508,
12,GUERRERO,24,CUALAC,7,13,6,56,449,1241,1859,23,,150,,5,,3,,,0,0,0,0,,,,,,,,,,,,3792,0,177,3969,5310,
12,GUERRERO,25,CUAUTEPEC,13,22,23,1800,2973,1896,42,35,21,800,37,7,6,2,,,13,13,3,14,142,13,,,,,,,,,,7840,0,429,8269,11312,
12,GUERRERO,26,CUETZALA DEL PROGRESO,16,16,,1173,287,8,44,1016,60,1473,11,8,,,,7,,,,,,,,,,,,,,,,4087,2,193,4282,6204,
12,GUERRERO,27,CUTZAMALA DE PINZON,42,50,76,6180,2185,,62,33,,959,18,7,,,,,6,2,0,6,,5,,,,,,,,,,9539,1,739,10279,17916,
12,GUERRERO,28,CHILAPA DE ALVAREZ,85,167,1154,15126,14494,722,2218,823,452,9755,1214,217,71,,,,,,,,,,,,,,,,,,,46246,45,3967,50258,86923,
12,GUERRERO,29,CHILPANCINGO DE LOS BRAVO,103,321,3124,20525,35307,2344,4637,3091,812,37227,1303,2546,191,496,239,403,546,222,41,210,667,,,,,,,,,,,113931,33,4853,118817,192372,
12,GUERRERO,30,EDUARDO NERI,29,65,264,3450,4563,102,4063,490,3496,4825,156,,68,219,42,,52,19,3,20,,,,,,,,,,,,21832,0,1270,23102,35472,
