ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PODEMOS,MAS_X_HIDALGO,NVA_ALIANZA,ESH,PAN_PRD,PVEM_PT_MORENA_ESH,PVEM_PT_MORENA,PVEM_PT_ESH,PVEM_PT,PVEM_MORENA,PVEM_ESH,PVEM_MORENA_ESH,PT_MORENA_ESH,PT_MORENA,PT_ESH,MORENA_ESH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
13,HIDALGO,1,ACATLAN,12,30,2664,3074,17,,162,,347,122,,3583,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10030,3,167,10200,16736,
13,HIDALGO,2,ACAXOCHITLAN,21,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30683,
13,HIDALGO,3,ACTOPAN,34,75,122,3767,302,91,286,215,4141,4560,1980,1700,122,21,110,16,1,3,19,2,13,25,74,2,9,,3793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21374,2,587,21963,45468,
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE,12,18,1255,2152,,69,121,,359,47,,1124,298,,25,4,2,0,0,0,3,6,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5480,0,105,5585,7320,
13,HIDALGO,5,AJACUBA,11,23,1725,1876,632,1119,1109,68,818,128,135,1357,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9114,5,135,9254,13580,
13,HIDALGO,6,ALFAJAYUCAN,22,34,47,1483,273,2387,2025,,746,295,58,702,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9304,2,194,9500,15037,
13,HIDALGO,7,ALMOLOYA,13,19,1130,1202,301,20,549,316,57,105,369,200,8,,7,3,2,4,0,0,0,0,7,0,1,,,1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5476,1,103,5580,9093,
13,HIDALGO,8,APAN,25,58,477,4419,1157,584,3883,827,1133,435,545,2132,1819,,,,,,,,,,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17799,16,395,18210,33928,
13,HIDALGO,9,ATITALAQUIA,10,32,1220,2255,716,1933,314,1471,1363,80,810,546,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11883,3,211,12097,20927,
13,HIDALGO,10,ATLAPEXCO,16,28,970,3070,50,,156,,,137,,3039,3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11177,79,307,11563,14483,
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,46,1314,2338,295,272,953,1037,1826,2567,556,2019,89,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13399,2,338,13739,23134,
13,HIDALGO,12,ATOTONILCO DE TULA,18,57,1124,1427,1647,870,2607,210,1730,197,3103,1305,865,1089,,,,,,,,,,,,,,,,1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17409,16,379,17804,34947,
13,HIDALGO,13,CALNALI,15,24,2604,1838,7,,146,560,135,67,,1522,2899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9778,0,291,10069,12147,
