ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NACH,PAN_PRD,PT_MORENA_NACH,PT_MORENA,PT_NACH,MORENA_NACH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
8,CHIHUAHUA,1,AHUMADA,15,24,525,1259,,3175,109,43,504,13,,,30,,7,10,0,2,,,,,,5677,1,189,5867,9922,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_001 AHUMADA.pdf
8,CHIHUAHUA,2,ALDAMA,20,39,3257,528,56,120,191,2568,1113,392,,,2348,24,44,10,10,85,,,,,,10746,2,257,11005,21401,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_002 ALDAMA.pdf
8,CHIHUAHUA,3,ALLENDE,15,18,1192,2557,26,38,442,732,83,79,,,,7,,,,,,,,,,5156,0,141,5297,7459,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_003 ALLENDE.pdf
8,CHIHUAHUA,4,AQUILES SERDAN,3,21,928,2906,22,97,23,256,815,224,518,12,29,5,6,5,1,1,,,,,,5848,16,201,6065,13607,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_004 AQUILES SERDAN.pdf
8,CHIHUAHUA,5,ASCENSION,20,32,1910,953,2241,,72,970,1336,,,,32,,4,5,0,2,,,,,,7525,1,267,7793,18655,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_005 ASCENSION.pdf
8,CHIHUAHUA,6,BACHINIVA,17,17,1900,221,7,100,,300,1077,,,,,,,,,,,,,,,3605,2,94,3701,5786,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_006 BACHINIVA.pdf
8,CHIHUAHUA,7,BALLEZA,14,25,800,6231,,,53,232,490,,,,33,,4,2,0,0,,,,,,7845,2,472,8319,13631,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_007 BALLEZA.pdf
8,CHIHUAHUA,8,BATOPILAS DE MANUEL GOMEZ MORIN,11,17,327,3000,76,,,,456,140,,,,11,,,,,,,,,,4010,2,482,4494,8145,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_008 BATOPILAS DE MANUEL GOMEZ MORIN.pdf
8,CHIHUAHUA,9,BOCOYNA,22,42,4684,2881,,47,36,4209,319,27,,68,76,,3,2,1,2,,,,,,12355,0,749,13104,21351,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_009 BOCOYNA.pdf
8,CHIHUAHUA,10,BUENAVENTURA,26,39,2903,4471,58,66,60,52,1345,,,,38,113,2,3,4,4,,,,,,9119,3,364,9486,19342,https://ieechihuahua.org.mx/sistema/archivos/repositorio_actas/2021_mpal_y_dtal/ACM-AYU_010 BUENAVENTURA.pdf
