ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,PCHU,PMCH,PNA,PPCH,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,1,ACACOYAGUA,7,20,1097,229,45,2375,0,0,2081,1796,59,0,357,95,34,0,0,0,0,0,0,0,0,0,0,0,34,19,2,2,8225,0,224,8449,12572,
7,CHIAPAS,2,ACALA,10,26,224,219,25,1715,1044,24,1514,0,395,135,3633,0,34,5,0,1764,0,0,0,0,0,0,0,0,23,4,3,0,10761,0,356,11117,15453,
7,CHIAPAS,3,ACAPETAHUA,14,38,491,592,31,4336,3384,521,2420,65,69,0,766,401,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13121,0,392,13513,21104,
7,CHIAPAS,4,ALTAMIRANO,9,42,68,276,42,7710,149,0,5829,0,0,0,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,17100,3,527,17630,22553,
7,CHIAPAS,5,AMATAN,10,28,4153,122,72,4826,19,64,1751,89,60,0,66,47,40,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11429,0,322,11751,15599,
7,CHIAPAS,6,AMATENANGO DE LA FRONTERA,14,43,13,98,20,6297,21,34,4867,4442,131,0,109,83,38,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16164,0,445,16609,22828,
7,CHIAPAS,7,AMATENANGO DEL VALLE,4,11,0,2843,0,135,36,0,177,0,0,622,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5493,0,155,5648,6716,
7,CHIAPAS,8,ANGEL ALBINO CORZO,12,36,139,839,435,403,1663,1512,225,129,1298,0,2987,0,166,492,0,0,0,0,0,0,0,0,0,0,52,5,3,7,10355,2,438,10795,19762,
7,CHIAPAS,9,ARRIAGA,25,59,1761,582,61,191,127,1217,5883,686,1203,154,5286,0,166,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17390,7,559,17956,31582,
7,CHIAPAS,10,BEJUCAL DE OCAMPO,3,11,4,5,0,5,0,0,0,1541,2,0,1092,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2659,0,42,2701,6018,
