ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,UDC,MC,MORENA,PES,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
5,COAHUILA,1,ABASOLO,2,3,214,355,5,,,,,505,,,,,,,,,,,,,0,1079,1,12,1092,1279,
5,COAHUILA,2,ACUÑA,64,192,3719,18647,187,9408,319,,636,25193,303,166,412,599,,,,,,,,,39,59628,14,1225,60867,118964,
5,COAHUILA,3,ALLENDE,15,33,774,4991,45,,45,,417,4382,,,119,,,,,,,,,,11,10784,2,154,10940,18447,
5,COAHUILA,4,ARTEAGA,21,38,1510,7706,64,142,,66,149,1896,304,134,78,,,,,,,,,,7,12056,2,250,12308,19021,
5,COAHUILA,5,CANDELA,3,4,751,556,7,,,,,113,,,,,,,,,,,,,0,1427,0,16,1443,1662,
5,COAHUILA,6,CASTAÑOS,22,43,861,5305,223,,,213,145,6013,,0,,,,,,,,,,,47,12807,1,181,12989,21394,
5,COAHUILA,7,CUATRO CIENEGAS,14,21,1526,2694,60,,,,246,1506,33,,186,,,,,,,,,,25,6276,0,65,6341,9408,
5,COAHUILA,8,ESCOBEDO,4,6,34,917,20,,4,,,950,,,,,,,,,,,,,0,1925,0,30,1955,2458,
5,COAHUILA,9,FRANCISCO I. MADERO,42,80,632,10158,194,947,464,343,,14003,271,188,586,,1469,,,,,,,,12,29267,3,387,29657,43742,
5,COAHUILA,10,FRONTERA,41,101,6563,11704,171,299,,252,280,13354,110,,3212,,,,,,,,,,22,35967,5,516,36488,61398,
5,COAHUILA,11,GENERAL CEPEDA,16,20,3495,2577,179,158,260,18,50,261,,,,,,,,,,,,,27,7025,0,151,7176,9384,
5,COAHUILA,12,GUERRERO,5,5,338,959,0,,,,,,,,,,,,,,,,,,2,1299,1,28,1328,1805,
5,COAHUILA,13,HIDALGO,2,3,64,377,1,381,,,,234,,,,,,,,,,,,,0,1057,0,9,1066,1303,
5,COAHUILA,14,JIMENEZ,10,16,90,1890,102,101,1269,449,,1048,53,,,,,,,,,,,,12,5014,0,95,5109,8266,
5,COAHUILA,15,JUAREZ,4,4,402,351,7,,,,320,40,,,,,,,,,,,,,2,1122,0,11,1133,1401,
5,COAHUILA,16,LAMADRID,2,4,505,662,6,,,,19,174,,,,,,,,,,,,,0,1366,0,16,1382,1619,
5,COAHUILA,17,MATAMOROS,62,143,746,25179,2041,5452,,315,723,17188,547,170,3375,,,38,,,,,,,65,55839,4,1093,56936,83745,
5,COAHUILA,18,MONCLOVA,124,295,30636,29277,385,639,,935,1921,18931,294,405,13175,,,,,,,,,,45,96643,16,1471,98130,174496,
5,COAHUILA,19,MORELOS,6,12,858,1687,18,,,,40,1525,,,120,,,,,,,,,,0,4248,0,47,4295,6873,
5,COAHUILA,20,MUZQUIZ,48,97,1040,12965,186,219,333,,413,18454,,297,65,,,,,,,,,,25,33997,3,579,34579,54855,
5,COAHUILA,21,NADADORES,8,12,1385,1493,12,,,,,771,55,,,,,,,,,,,,1,3717,0,41,3758,5013,
5,COAHUILA,22,NAVA,16,39,3710,4429,41,165,103,,344,4306,84,,,,,,,,,,,,6,13188,3,178,13369,23050,
5,COAHUILA,23,OCAMPO,13,19,191,1459,40,,,,144,566,405,,1385,,,,,,,,,,10,4200,53,76,4329,7105,
5,COAHUILA,24,PARRAS,34,68,383,7043,643,145,1145,,2661,1547,220,334,4421,,,,2322,,,,,,25,20889,14,686,21589,34398,
