ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA_PNA,MORENA,PNA,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
6,COLIMA,1,COLIMA,91,231,6972,11263,559,10756,1871,15103,17594,,,1714,533,1320,836,157,12,12,,,,,,68702,52,1740,70494,128146,
6,COLIMA,2,COMALA,13,35,1115,1608,51,2745,181,1258,2148,,,150,72,151,147,52,2,4,,962,,,,10646,1,342,10989,17311,
6,COLIMA,3,COQUIMATLAN,15,35,437,1693,18,1698,214,1131,3042,,,215,95,46,70,40,2,1,,,404,,,9106,2,270,9378,16600,
6,COLIMA,4,CUAUHTEMOC,18,44,539,2682,128,897,,2470,3464,,,1616,242,553,187,37,3,7,,,,338,,13163,4,342,13509,23519,
6,COLIMA,5,VILLA DE ALVAREZ,67,181,3550,7306,387,10090,1388,11465,,11687,,826,1208,4783,477,76,8,7,,,,,2030,55288,55,1290,56633,107038,
6,COLIMA,6,ARMERIA,21,41,529,1046,103,2591,1742,977,,2649,,599,273,715,73,15,0,6,201,,,,,11519,1,664,12184,21839,
6,COLIMA,7,IXTLAHUACAN,8,12,254,598,48,86,13,120,,252,,2130,,319,63,17,3,2,,,,,,3905,0,95,4000,5257,
6,COLIMA,8,MANZANILLO,69,239,11249,4764,341,17218,1667,4929,,24131,2178,1512,489,1753,509,187,19,5,,,,,,70951,120,1675,72746,144215,
6,COLIMA,9,MINATITLAN,7,18,96,2009,15,2498,3,76,,326,47,754,,41,105,22,1,1,,,,,,5994,1,125,6120,7834,
6,COLIMA,10,TECOMAN,60,143,3512,4007,195,3821,1147,3982,,12977,,2345,854,3694,380,131,9,7,,,,,,37061,16,1248,38325,84553,
