ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,SOMOS,PES,HAGAMOS,FUTURO,RSP,FM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,30,3024,924,,56,,1957,342,,,2086,,,351,,,,,,,,,,,,,,,,,,,8740,0,225,8965,17012,
14,JALISCO,2,ACATLAN DE JUAREZ,11,29,783,395,,199,,2720,2257,,1593,999,,23,781,,,,,,,,,,,,,,,,,,,9750,1,147,9898,17917,
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,495,4482,,,198,5203,846,,,712,,,,,,,,,,,,,,,,,,,,,,11936,0,123,12059,17828,
14,JALISCO,4,AMACUECA,4,9,17,714,308,,,1561,408,,,101,,,,,,,,,,,,,,,,,,,,,,3109,0,47,3156,4621,
14,JALISCO,5,AMATITAN,8,20,983,875,862,863,,1371,1928,,11,402,85,59,129,,,,,,,,,,,,,,,,,,,7568,0,96,7664,11787,
14,JALISCO,6,AMECA,43,93,1727,6495,189,576,,10633,3118,,138,939,560,,385,,,,,,,,,,,,,,,,,,,24760,58,465,25283,49902,
14,JALISCO,7,SAN JUANITO DE ESCOBEDO,8,15,960,507,,17,851,840,609,,87,110,,,,,608,,,,,,,,,,,,,,,,,4589,1,75,4665,7494,
14,JALISCO,8,ARANDAS,30,96,5020,4028,,,232,10643,1448,,250,6652,,100,1419,,,,,,,,,,,,,,,,,,,29792,25,832,30649,59510,
14,JALISCO,9,EL ARENAL,5,23,1195,522,,24,1976,1320,766,145,,2171,669,,575,,,,,,,,,,,,,,,,,,,9363,0,104,9467,15090,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,9,1618,302,,7,,604,1183,,23,78,,,,,,,,,,,,,,,,,,,,,,3815,0,47,3862,5018,
14,JALISCO,11,ATENGO,6,11,1159,1274,,,,132,78,,,763,,,,,,,,,,,,,,,,,,,,,,3406,0,48,3454,4573,
14,JALISCO,12,ATENGUILLO,5,8,14,409,,,,1104,73,,13,646,,,,,,,,,,,,,,,,,,,,,,2259,1,44,2304,3521,
14,JALISCO,13,ATOTONILCO EL ALTO,27,83,5572,7543,76,784,229,4547,2289,,739,600,500,186,213,,,,,,,,25,,,,,,,,,,,23303,11,541,23855,49705,
14,JALISCO,14,ATOYAC,6,14,881,929,55,,,1454,256,,32,628,,,160,,,,,,,,,,,,,,,,,,,4395,0,92,4487,7106,
14,JALISCO,15,AUTLAN DE NAVARRO,30,81,1303,8846,175,,159,6852,4175,,241,837,46,137,652,,,,508,,,,,,,,,1983,,,,,,25914,5,447,26366,50869,
14,JALISCO,16,AYOTLAN,19,51,178,3328,,76,317,5386,830,,352,591,,5145,210,,,,,,,,,,,,,,,,,,,16413,1,313,16727,30600,
14,JALISCO,17,AYUTLA,12,20,985,84,,,58,2931,2005,,134,113,36,,,,,,,,,,,,,,,,,,,,,6346,0,133,6479,10512,
14,JALISCO,18,LA BARCA,36,97,2072,3190,,1712,1785,2576,3169,,373,2751,3013,3104,1295,,,,,,,,,,,,,,,,,,,25040,5,435,25480,57008,
14,JALISCO,19,BOLAÑOS,3,4,257,570,744,,,137,24,,,101,,,,,,,,,,,,,,,,,,,,,,1833,0,25,1858,2279,
14,JALISCO,20,CABO CORRIENTES,6,19,,35,,2863,381,2380,219,,,202,,,,,,,,,,,,,,,,,,,,,,6080,0,132,6212,9131,
14,JALISCO,21,CASIMIRO CASTILLO,14,29,67,3388,,244,,2264,,,49,1024,,,,,,,,,,,,,,,,,,,,,,7036,4,1010,8050,16078,
14,JALISCO,22,CIHUATLAN,17,47,1972,644,,1364,147,2874,1960,,,2854,,,2040,,,,,,,,,,,,,,,,,,,13855,516,371,14742,27129,
14,JALISCO,23,ZAPOTLAN EL GRANDE,51,141,2102,5527,176,694,12309,9861,5179,,172,2272,1386,314,1476,615,,,,,934,,,,,,,,,,,,,43017,15,843,43875,88721,
14,JALISCO,24,SAN GABRIEL,10,23,324,2539,1556,,,3010,482,,,479,,,37,,,,,,,,,,,,,,,,,,,8427,4,111,8542,12664,
14,JALISCO,25,COCULA,17,40,1143,3824,,,76,3229,2003,,202,914,,,261,,,,,,,968,,,,,,,,,,,,12620,1,299,12920,23453,
14,JALISCO,26,COLOTLAN,15,28,1326,315,35,,87,3162,669,,,3009,,,,,,,,,,,,,,,,,,,,410,,9013,3,172,9188,14781,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,68,335,,1099,,166,84,,1785,22,,,4,,,,,,,,,,,,,,,,,,,3563,0,113,3676,5137,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,25,3774,1168,,,,4805,482,,20,306,,,34,,,,,,,,,,,,,,,,,,,10589,0,276,10865,13666,
14,JALISCO,29,CUAUTLA,4,5,598,166,,,,5,31,,,692,,,,,,,,,,,,,,,,,,,,,,1492,0,35,1527,2247,
14,JALISCO,30,CUQUIO,12,26,2630,4173,,,73,2837,430,,16,17,,,,,,,,,,,,,,,,,,,,,,10176,1,130,10307,14540,
14,JALISCO,31,CHAPALA,19,62,8733,1544,,146,65,7364,1372,,71,3311,127,70,1016,,,,,,,,,,,,493,,25,,,,,24337,4,641,24982,39593,
14,JALISCO,32,CHIMALTITAN,3,5,1086,976,,,0,6,37,,,1,13,,,,,,,,,,,,,,,,,,,,,2119,0,41,2160,2695,
14,JALISCO,33,CHIQUILISTLAN,4,8,356,519,623,,,492,247,,,869,,,,,,,,,,,,,,,,,,,,,,3106,0,47,3153,4653,
14,JALISCO,34,DEGOLLADO,16,37,1220,3594,,107,,3675,376,,,484,,,,,,,,,,,,,,,,,,,,,,9456,2,157,9615,18891,
14,JALISCO,35,EJUTLA,2,4,173,181,,,,94,438,,,355,,,,,,,,,,,,,,,,,,,,,,1241,0,27,1268,2027,
14,JALISCO,36,ENCARNACION DE DIAZ,31,70,3870,2681,,,,5093,5625,,1346,53,1859,,,,,,,,,,,,,,,,,,,,,20527,11,359,20897,38891,
14,JALISCO,37,ETZATLAN,11,25,2393,271,,31,,4919,995,,,640,176,,,,,,,,,,,,,,,,,,,,,9425,0,104,9529,15065,
14,JALISCO,38,GOMEZ FARIAS,8,21,263,488,,,322,2935,473,,,2782,,,,,,,,,,,,,,,,,,,,,,7263,1,110,7374,12512,
14,JALISCO,39,EL GRULLO,12,33,550,1343,,,458,2524,2359,,798,720,,35,17,,,,,,,,,,,,,,,,,,,8804,1,180,8985,20186,
14,JALISCO,40,GUACHINANGO,8,11,17,34,,,154,676,246,,,810,467,,,,,,,,,,,,,,,,,,,,,2404,2,70,2476,3670,
14,JALISCO,41,GUADALAJARA,982,2186,44960,47877,2627,8370,3589,273666,149023,1766,6886,27212,17688,1942,5868,,,,,,,,,,9042,,,,,,,,,600516,407,14587,615510,1263589,
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,1914,91,,823,,633,41,,482,352,,,,,,,,,,,,,,,,,,,,,,4336,0,117,4453,6745,
14,JALISCO,43,HUEJUCAR,5,10,545,1172,,,,1297,232,,,7,,,31,,,,,,,,,,,,,,,,,,,3284,0,53,3337,5366,
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,15,1281,1537,,,,653,870,,,156,,,,,,,,,,,,,,,,,,,,,,4497,5,90,4592,7106,
14,JALISCO,45,LA HUERTA,18,36,239,2930,,,,2673,1577,,55,69,,,,,,,,,,,,,,,,,,,,,,7543,1,2109,9653,18702,
14,JALISCO,46,IXTLAHUACAN DE LOS MEMBRILLOS,11,59,1230,10060,72,106,306,1429,3373,,119,267,450,,812,,,,,,,,,,,,,,,,,,,18224,3,378,18605,38570,
14,JALISCO,47,IXTLAHUACAN DEL RIO,11,26,183,2265,,478,1198,2726,1999,,24,305,,,89,,,,,,,,,,,,,,,,,,,9267,0,144,9411,15713,
14,JALISCO,48,JALOSTOTITLAN,21,46,3023,4829,,,,3702,839,,55,500,,25,,,,,,,,,,,,,,,,,,,,12973,5,248,13226,26336,
14,JALISCO,49,JAMAY,12,32,2138,445,,,357,4206,2614,,131,497,15,,,,,,,,,,,,,,,,,,,,,10403,1,143,10547,19411,
14,JALISCO,50,JESUS MARIA,14,26,3451,946,,,,2109,198,,64,480,,25,517,,,,,,,,,,,,,,,,,,,7790,2,199,7991,16469,
