ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAEM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA_NAEM,PT_MORENA,PT_NAEM,MORENA_NAEM,PT_MORENA_NAEM_CC,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY DE RUIZ CASTAÑEDA,32,92,8750,9866,118,916,187,182,4944,3540,,1324,320,,,,,22,26,3,12,,,,,,,,,,,,,,,,,30210,2,748,30960,48380,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M001.pdf
15,MEXICO,2,ACOLMAN,33,134,12723,13516,390,2045,557,560,16929,639,1232,586,335,,,,,66,84,5,26,,,,,,,,,,,,,,,,,49693,28,915,50636,87279,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M002.pdf
15,MEXICO,3,ACULCO,24,64,551,8279,185,5204,,433,,318,3195,274,,151,35,7,11,,,,,3306,,,,,,,,,,,,,,,,21949,55,604,22608,34643,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M003.pdf
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,177,6157,55,159,,141,,,57,47,,117,15,1,6,,,,,1067,,,,,,,,,,,,,,,,7999,141,352,8492,12193,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M004.pdf
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,193,5053,24217,2137,14098,2655,800,13855,1136,974,992,699,,,,,445,149,41,79,,,,,,,,,,,,,,,,,67330,228,1903,69461,119160,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M005.pdf
15,MEXICO,6,ALMOLOYA DEL RIO,5,14,59,874,378,1539,,298,,222,168,492,,27,4,2,7,,,,,1082,,,,,,,,,,,,,,,,5152,769,174,6095,8866,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M006.pdf
15,MEXICO,7,AMANALCO,10,33,298,2409,255,594,219,3411,2678,1838,301,906,104,111,10,6,14,22,22,8,9,,,,,,,,,,,,,,,,,13215,0,446,13661,18836,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M007.pdf
15,MEXICO,8,AMATEPEC,27,46,197,7477,1803,144,,,,,,,,78,8,12,47,,,,,3415,,,,,,,,,,,,,,,,13181,8,457,13646,20568,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M008.pdf
15,MEXICO,9,AMECAMECA,26,73,3465,7996,484,3602,228,2549,5856,1223,759,699,113,,,,,15,16,1,3,,,,,,,,,,,,,,,,,27009,68,597,27674,43027,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M009.pdf
15,MEXICO,10,APAXCO,14,38,1949,2238,268,2299,,88,,61,584,6429,,,,,,,,,,472,,,,,,,,,,,,,,,,14388,4,346,14738,22555,http://www.ieem.org.mx/proceso2021/actasmun/ACM2021_M010.pdf
