ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PSD,MORENA,PHM,PANALM,PESM,MAS,PODEMOS,MP,BC,FUTURO,FM,PAS,RPM,PES,RSP,FXM,APM,CAND_IND1,CAND_IND2,CAND_IND3,PAN_PSD,PAN_PHM,PRI_PRD,PRD_PSD,MORENA_PANALM_PESM,MORENA_PANALM,MORENA_PESM,PANALM_PESM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,11,23,15,163,111,362,1015,1677,2,279,272,9,1838,178,41,2277,6,4,5,2,331,10,10,10,1,,,,,,23,,,,,,8641,0,169,8810,13645,
17,MORELOS,2,ATLATLAHUCAN,12,31,2583,265,27,615,86,84,165,652,1969,574,9,1077,5,2,114,234,132,5,59,1487,10,83,14,2072,,,,,2,,,,,,12325,4,240,12569,18497,
17,MORELOS,3,AXOCHIAPAN,20,47,23,144,194,1009,924,3387,1979,4270,24,58,17,2,26,111,80,281,23,3,2134,34,1003,127,10,,,,,,19,,,,,,15882,1,361,16244,27124,
17,MORELOS,4,AYALA,42,108,12764,834,219,815,411,353,196,10866,2200,608,386,17,69,287,340,22,167,170,36,267,371,170,151,,,,,,54,,585,90,147,31,32626,7,1043,33676,64805,
17,MORELOS,5,COATLAN DEL RIO,11,18,25,144,40,8,4,20,538,254,4,6,24,5,754,858,1,0,228,2,5,3,53,102,0,,2717,,,,70,,,,,,5865,1,196,6062,8369,
17,MORELOS,6,CUAUTLA,91,239,6387,5615,1300,693,1823,10213,6487,17657,1106,468,65,613,272,2612,257,387,134,266,316,6395,1439,1687,359,,,,,172,,,,,,,66723,51,2267,69041,146670,
17,MORELOS,7,CUERNAVACA,206,537,41096,11036,5462,1675,5592,2026,6735,31407,1030,1918,2921,9655,1799,2351,1423,497,840,907,4700,794,840,13124,746,,,,788,,,,524,118,328,104,150436,242,5388,156066,319681,
17,MORELOS,8,EMILIANO ZAPATA,21,102,7047,728,281,4290,1676,461,274,4884,218,1399,60,4978,1034,79,45,82,227,19,319,173,5035,112,326,,,,,190,56,,,,,,33993,7,923,34923,67407,
17,MORELOS,9,HUITZILAC,11,28,143,2767,96,2239,62,353,6,213,20,1883,1,1061,114,238,11,1,2,4,4,540,969,398,3,,,,,,173,,,,,,11301,0,310,11611,15982,
17,MORELOS,10,JANTETELCO,8,22,33,15,8,17,445,8,24,90,1688,7,1,6,1,42,2400,6,0,0,0,455,3891,3,25,,,,,,,,,,,,9165,1,145,9311,13151,
17,MORELOS,11,JIUTEPEC,72,265,7624,5485,6409,1720,1430,6521,411,24908,880,1284,478,553,552,544,117,92,962,131,649,1660,8290,3001,214,,,,,,968,,,,,,74883,48,2660,77591,170522,
17,MORELOS,12,JOJUTLA,36,80,288,625,92,193,199,88,746,14624,404,380,4029,2648,70,107,116,27,111,9,39,100,320,84,6,,,,,,,,,,,,25305,8,675,25988,47872,
17,MORELOS,13,JONACATEPEC,11,22,23,47,46,961,1235,572,8,226,475,364,4,511,25,1063,87,18,89,29,506,1724,3,548,1,,,,,,10,,,,,,8575,0,154,8729,12333,
17,MORELOS,14,MAZATEPEC,7,15,4,2234,4,25,7,2342,0,63,6,3,4,4,4,1,0,1069,1,0,0,160,28,10,2,,,,,,,,,,,,5971,0,91,6062,8318,
17,MORELOS,15,MIACATLAN,9,23,890,2880,198,12,28,41,24,401,5,10,1749,3,10,2,3,6,0,0,339,10,1801,6,0,,,,,,103,,,,,,8521,1,175,8697,12541,
17,MORELOS,16,OCUITUCO,10,23,3121,399,50,98,872,619,16,107,2622,14,1068,32,0,1,5,49,2,407,214,23,4,531,28,,,,0,,,7,,,,,10289,1,164,10454,13671,
17,MORELOS,17,PUENTE DE IXTLA,25,53,58,1121,2570,15,1608,3979,371,4367,22,75,33,494,302,2351,311,187,11,14,746,21,28,54,15,,,,,,,,,,,,18753,0,400,19153,31392,
17,MORELOS,18,TEMIXCO,43,143,2618,2301,803,836,9174,2527,209,6364,230,762,1763,730,1091,694,167,506,361,143,1305,200,2369,1261,145,,,,,,,,284,45,156,64,37108,18,1411,38537,89775,
17,MORELOS,19,TEPALCINGO,16,37,17,209,152,554,1580,90,16,1176,834,27,2225,325,8,7,8,15,10,9,741,63,219,1864,220,,,,,,,,,,,,10369,596,770,11735,21070,
17,MORELOS,20,TEPOZTLAN,19,54,220,347,100,47,4739,5379,633,3100,17,122,6,185,457,3,30,316,176,9,9,53,569,180,2,,,,,,19,,,,,,16718,9,389,17116,30764,
17,MORELOS,21,TETECALA,6,13,10,37,395,5,415,1787,1,1752,3,200,269,0,0,4,1,0,0,0,0,6,7,1,0,,,,,,,,111,34,20,14,5072,0,104,5176,6513,
17,MORELOS,22,TETELA DEL VOLCAN,4,15,19,14,5,133,47,2059,15,814,474,562,580,37,3,1,123,14,14,0,0,1284,1013,2,0,,,,,,1,,120,22,40,13,7409,2,108,7519,9946,
17,MORELOS,23,TLALNEPANTLA,4,9,8,27,5,3,10,51,641,35,4,7,1,804,2,108,74,0,43,400,324,9,1209,3,2,,,,,,1,,,,,,3771,0,103,3874,5220,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,27,67,154,2286,397,48,2167,237,322,9076,39,184,5344,27,28,160,21,297,363,48,479,123,127,309,113,,,,,,,12,,,,,22361,14,546,22921,39020,
17,MORELOS,25,TLAQUILTENANGO,25,52,1846,1515,181,431,577,23,301,4498,105,109,201,831,50,325,51,80,27,3,163,116,2802,25,75,,,,,,,,,,,,14335,1,353,14689,25553,
17,MORELOS,26,TLAYACAPAN,9,24,70,70,68,90,23,68,4,1483,13,13,10,506,186,1809,178,539,1,2248,5,29,329,203,5,,,2051,,1,9,,,,,,10011,2,166,10179,14566,
17,MORELOS,27,TOTOLAPAN,7,16,17,39,111,8,8,1311,0,365,4,1944,1,13,0,215,0,117,277,0,1256,11,5,13,4,,,,,,25,,,,,,5744,0,148,5892,8376,
17,MORELOS,28,XOCHITEPEC,24,87,1155,7679,358,129,2835,714,77,7087,51,31,39,5024,356,4,35,428,119,8,30,55,89,92,45,,,,,,,,,,,,26440,3,774,27217,53465,
17,MORELOS,29,YAUTEPEC,52,136,1276,1357,391,495,218,620,629,3977,174,9361,980,45,109,20,204,76,165,19,4466,158,6442,5101,192,,,,,18,,,1050,189,212,192,38136,18,1061,39215,80375,
17,MORELOS,30,YECAPIXTLA,19,63,6444,1549,248,65,4698,278,97,3538,206,137,132,12,18,12,417,191,247,8,12,74,1231,216,6,,,,,,99,,79,16,40,11,20081,4,458,20543,37729,
17,MORELOS,31,ZACATEPEC,26,53,169,1622,247,61,3080,738,21,3473,22,2222,3777,336,228,10,382,98,12,3,249,36,398,308,4,,,,2,,,,,,,,17498,1,321,17820,30015,
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,16,3,2,5,1302,12,0,463,9,1,5,918,0,0,5,0,0,0,559,1341,884,102,0,,,,,,,,,,,,5627,23,127,5777,7496,
17,MORELOS,33,TEMOAC,6,18,32,2267,12,10,31,27,22,536,25,19,3,20,24,2,5,3,1,1,76,2672,942,1832,0,,,,,,,,,,,,8562,4,225,8791,11498,
17,MORELOS,34,COATETELCO,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7982,
17,MORELOS,35,XOXOCOTLA,7,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19345,
17,MORELOS,36,HUEYAPAN,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5381,
