ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PES,RSP,FXM,NAN,VIVA,MLN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA_NAN,PT_PVEM_MORENA,PT_PVEM_NAN,PT_MORENA_NAN,PVEM_MORENA_NAN,PT_PVEM,PT_MORENA,PT_NAN,PVEM_MORENA,PVEM_NAN,MORENA_NAN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,1,ACAPONETA,47,63,583,3303,1093,681,733,2364,6023,56,192,59,456,0,84,431,48,12,42,274,77,8,37,42,22,47,9,62,13,50,16801,4,379,17184,27434,
18,NAYARIT,2,AHUACATLAN,17,26,1713,525,126,339,355,1144,1882,0,45,0,192,29,260,282,63,16,3,279,36,15,16,23,7,21,9,42,10,22,7454,0,179,7633,12518,
18,NAYARIT,3,AMATLAN DE CAÑAS,21,24,577,292,305,95,1524,249,329,235,170,1700,74,0,691,69,10,4,2,70,5,4,2,11,14,6,2,14,2,6,6462,1,139,6602,9483,
18,NAYARIT,4,BAHIA DE BANDERAS,43,179,12339,2976,1083,685,1005,1521,17792,393,296,755,503,110,3670,1969,231,102,39,867,134,158,32,82,26,90,14,125,15,112,47124,29,1215,48368,117809,
18,NAYARIT,5,COMPOSTELA,72,118,3136,1422,269,770,813,5749,9861,197,438,1061,341,0,2254,447,82,31,9,284,90,18,37,51,13,55,8,86,14,101,27637,8,805,28450,59067,
18,NAYARIT,6,HUAJICORI,19,23,45,526,78,192,191,971,2111,0,568,895,152,0,58,37,8,1,1,145,21,10,14,21,8,12,7,26,9,23,6130,0,136,6266,8350,
18,NAYARIT,7,IXTLAN DEL RIO,24,42,3897,524,138,1943,268,2127,1554,0,113,0,365,41,330,380,58,24,12,204,48,9,19,15,19,36,10,19,0,9,12162,16,278,12456,22183,
18,NAYARIT,8,JALA,18,29,1389,944,132,256,364,840,1400,0,2228,0,584,64,46,305,60,14,5,262,19,20,21,37,8,17,5,28,13,31,9092,0,260,9352,13727,
18,NAYARIT,9,DEL NAYAR,23,54,469,3434,155,4271,2264,3124,1823,230,220,0,167,0,40,100,50,14,12,0,0,0,0,0,0,0,0,0,0,0,16373,1,813,17187,27181,
18,NAYARIT,10,ROSAMORADA,43,57,684,3659,421,2347,513,3320,3145,315,916,0,388,94,554,198,51,10,13,173,36,14,33,22,26,54,14,25,6,39,17070,0,369,17439,26292,
18,NAYARIT,11,RUIZ,27,41,865,629,158,238,511,2305,4387,125,408,0,243,0,153,138,27,8,1,144,34,8,24,25,6,19,3,41,9,43,10552,2,327,10881,18082,
18,NAYARIT,12,SAN BLAS,46,69,3628,1205,430,200,569,1727,4019,56,183,1804,182,703,2411,431,102,33,14,150,28,6,12,37,7,12,3,71,9,44,18076,1,552,18629,30419,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,13,17,179,162,24,131,193,1272,962,0,0,500,76,0,704,18,4,2,0,59,7,2,6,9,3,6,2,13,4,9,4347,0,102,4449,6724,
18,NAYARIT,14,SANTA MARIA DEL ORO,23,36,492,2090,227,331,329,575,2380,30,198,142,584,342,2645,236,33,5,14,227,42,26,19,24,12,21,12,27,13,38,11114,3,465,11582,18599,
18,NAYARIT,15,SANTIAGO IXCUINTLA,111,158,1931,6833,2411,665,726,5828,12595,2430,456,0,457,594,1919,951,105,50,36,273,118,23,30,41,19,42,5,90,16,73,38717,78,1133,39928,72737,
18,NAYARIT,16,TECUALA,50,62,468,3273,557,760,587,930,6526,0,792,136,858,268,1309,254,129,15,32,374,129,38,54,54,20,54,24,75,14,60,17790,9,435,18234,29221,
18,NAYARIT,17,TEPIC,299,592,12441,11521,4849,5640,4141,26681,62029,3089,2434,1057,3195,1895,7441,2957,361,193,98,2982,861,148,240,405,203,492,41,501,59,460,156414,100,3408,159922,315417,
18,NAYARIT,18,TUXPAN,34,50,458,945,186,259,204,5165,3321,217,211,315,206,983,1518,165,15,2,1,77,19,6,15,20,11,11,4,21,5,12,14372,1,347,14720,23538,
18,NAYARIT,19,XALISCO,24,73,4289,957,278,496,488,5545,5865,922,1034,0,391,371,1162,421,91,40,14,242,67,26,20,39,27,27,9,54,9,35,22919,8,485,23412,44364,
18,NAYARIT,20,LA YESCA,11,20,246,275,39,58,79,1066,1654,0,0,0,28,961,284,20,14,1,4,27,12,2,11,6,2,1,1,14,0,7,4812,0,159,4971,8349,
