ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PANAL,PES,RSP,FXM,C_PRI_PRD,C_PVEM_PT_MORENA_PANAL,C_PVEM_PT_MORENA,C_PVEM_PT_PANAL,C_PVEM_MORENA_PANAL,C_PT_MORENA_PANAL,C_PVEM_PT,C_PVEM_MORENA,C_PVEM_PANAL,C_PT_MORENA,C_PT_PANAL,C_MORENA_PANAL,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,ABASOLO,2,4,544,31,0,514,123,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,1997,0,21,2018,2512,
19,NUEVO LEON,2,AGUALEGUAS,9,10,1795,128,4,2,0,806,80,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819,0,47,2866,4147,
19,NUEVO LEON,3,LOS ALDAMAS,5,5,6,563,9,5,7,647,6,66,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,42,1363,2076,
19,NUEVO LEON,4,ALLENDE,19,48,3417,5947,28,145,124,1251,618,207,0,1181,0,20,14,2,4,0,1,0,3,2,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12972,1,232,13205,28919,
19,NUEVO LEON,5,ANAHUAC,14,28,635,4775,0,51,0,91,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2740,0,0,0,0,0,0,0,0,0,0,0,0,8734,1,229,8964,14822,
19,NUEVO LEON,6,APODACA,290,735,21628,137729,3444,1807,1670,20851,19435,870,1075,612,895,979,225,104,19,25,22,34,93,10,142,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211716,55,3231,215002,441414,
19,NUEVO LEON,7,ARAMBERRI,17,28,3457,5026,15,18,1126,22,131,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9839,2,216,10057,12646,
19,NUEVO LEON,8,BUSTAMANTE,4,5,913,575,6,35,10,15,83,22,0,834,104,3,4,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608,12,33,2653,3354,
19,NUEVO LEON,9,CADEREYTA JIMENEZ,61,149,15394,9194,236,3977,272,1656,2452,149,426,729,2463,0,118,27,10,15,1,19,55,11,10,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37235,14,858,38107,85414,
19,NUEVO LEON,10,CARMEN,4,47,3850,1301,55,2527,828,1002,1248,129,0,0,54,35,362,35,9,4,4,33,16,7,20,8,2,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,11911,0,243,12154,32600,
19,NUEVO LEON,11,CERRALVO,6,12,2333,228,5,0,18,51,1586,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,1,71,4313,6900,
19,NUEVO LEON,12,CIENEGA DE FLORES,20,62,4398,1395,204,5793,150,566,1008,92,0,59,825,49,79,21,6,7,0,19,47,22,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14753,1,266,15020,39601,
19,NUEVO LEON,13,CHINA,11,19,82,1694,19,103,53,145,175,1775,0,0,0,32,139,6,11,13,22,2,4,22,5,13,50,0,0,0,0,0,0,0,0,0,0,0,2040,0,0,0,0,6405,0,255,6660,9977,
19,NUEVO LEON,14,DR. ARROYO,37,56,1054,13156,32,144,0,348,6614,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21547,1,504,22052,29832,
19,NUEVO LEON,15,DR. COSS,5,6,83,778,0,8,0,9,0,833,0,48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760,0,28,1788,2725,
