ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CQROO,PES,RSP,FXM,PAN_PRI_PRD_CQROO,PAN_PRI_PRD,PAN_PRI_CQROO,PAN_PRD_CQROO,PRI_PRD_CQROO,PAN_PRI,PAN_PRD,PAN_CQROO,PRI_PRD,PRI_CQROO,PRD_CQROO,PVEM_PT_MORENA_MAS,PVEM_PT_MORENA,PVEM_PT_MAS,PVEM_MORENA_MAS,PT_MORENA_MAS,PVEM_PT,PVEM_MORENA,PVEM_MAS,PT_MORENA,PT_MAS,MORENA_MAS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,511,1086,41219,14508,10405,16806,3687,7395,75568,2572,2243,8263,1579,42795,0,0,0,546,0,0,773,50,0,0,28,285,437,34,61,31,112,697,30,594,26,168,3877,0,0,0,234789,539,9909,245237,630987,
23,QUINTANA ROO,2,COZUMEL,22,105,2097,12528,290,547,490,307,15074,317,211,432,474,455,58,245,8,2,11,247,12,3,30,18,1,104,123,9,34,18,19,130,7,151,8,72,0,556,0,0,35088,27,907,36022,70987,
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,99,910,9598,1538,785,2025,948,16106,804,424,482,210,413,136,268,13,1,8,91,20,2,97,19,3,133,134,8,15,30,35,84,11,302,13,103,0,0,0,0,35769,32,955,36756,55894,
23,QUINTANA ROO,4,ISLA MUJERES,10,35,5531,919,95,609,311,124,4025,64,385,166,110,71,75,131,9,14,1,135,32,43,5,4,3,24,66,1,10,3,14,90,4,54,0,11,0,0,0,0,13139,1,327,13467,21729,
23,QUINTANA ROO,5,JOSE MARIA MORELOS,22,50,915,1221,3164,1038,688,4330,8101,197,376,514,290,150,42,89,4,7,12,31,65,11,45,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21300,3,703,22006,27940,
23,QUINTANA ROO,6,LAZARO CARDENAS,14,40,6872,233,74,580,489,54,2667,3839,36,184,125,307,0,0,0,0,0,0,0,0,0,0,0,57,11,17,9,10,14,15,29,29,24,200,0,0,0,0,15875,0,375,16250,21905,
23,QUINTANA ROO,7,OTHON P. BLANCO,160,314,10234,7213,1572,711,1002,6078,26480,923,1236,1553,9225,3393,179,451,26,20,19,258,63,37,27,7,7,68,139,14,23,17,32,79,9,189,21,203,0,0,3999,0,75507,1163,2863,79533,174372,
23,QUINTANA ROO,8,SOLIDARIDAD,185,395,17034,4341,1351,1526,1602,7608,16976,591,1166,1081,1517,11672,259,464,38,23,14,210,83,42,23,16,5,69,102,3,24,27,27,149,10,224,6,97,0,0,0,3979,72359,467,3196,76022,229306,
23,QUINTANA ROO,9,TULUM,42,67,2528,1612,2086,215,1492,240,8664,274,1445,1091,124,95,142,128,20,25,11,79,67,56,20,15,22,143,75,6,25,26,18,36,5,161,4,71,0,0,0,0,21021,76,547,21644,35739,
23,QUINTANA ROO,10,BACALAR,28,56,1949,5748,345,166,3606,661,3247,148,416,183,238,904,60,104,6,5,3,108,12,10,32,22,2,38,37,3,3,11,25,5,1,249,7,11,0,0,0,0,18365,0,520,18885,31916,
23,QUINTANA ROO,11,PUERTO MORELOS,6,33,607,322,41,2732,919,380,1027,107,19,2615,292,1525,0,0,0,1,0,0,3,2,0,0,0,52,46,5,7,4,42,48,10,18,0,2,0,0,0,0,10826,5,419,11250,21792,
