ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QI,PES,RSP,FXM,PAN_QI,PRI_PVEM,PVEM_PT,PAN_PRD_QI,PAN_PRD,PRD_QI,PT_QI,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,AMEALCO DE BONFIL,35,94,10329,11130,230,460,473,5798,137,61,169,308,250,52,,15,,,,,,,,,,,,,,,,,29412,5,964,30381,50118,
22,QUERETARO,2,ARROYO SECO,11,23,2176,1984,,,86,2729,,,,,57,,209,,,,,,103,,,,,,,,,,,,7344,0,206,7550,11422,
22,QUERETARO,3,CADEREYTA DE MONTES,31,90,10604,5430,307,,1779,5104,,91,,350,3218,,,,,,,,,,,,,,,,,,,,26883,13,993,27889,53009,
22,QUERETARO,4,COLON,23,77,5889,8553,107,148,350,1299,,1809,387,154,2227,532,,,,,,,,4112,,,,,,,,,,,25567,4,803,26374,47563,
22,QUERETARO,5,CORREGIDORA,62,241,50007,5336,1010,1247,2435,12463,2490,917,796,848,1472,,,,,,,,,,1912,,,,,,,,,,80933,82,1474,82489,156115,
22,QUERETARO,6,EZEQUIEL MONTES,17,54,7032,4422,264,107,68,,150,125,106,298,111,21,,,432,57,3,,,,,6652,229,,,,,,,,20077,2,408,20487,32235,
22,QUERETARO,7,HUIMILPAN,14,52,3180,2820,432,246,3986,677,,26,327,1230,403,,,,,,,,,,,,,907,,,,,,,14234,5,496,14735,30108,
22,QUERETARO,8,JALPAN DE SERRA,15,44,3755,1906,,155,120,,,73,,78,73,,322,,,,,,,,,,,,645,4987,,,,,12114,12,597,12723,21895,
22,QUERETARO,9,LANDA DE MATAMOROS,14,32,4139,3588,,39,43,1903,,131,,,50,,,,,,,,,,,,,,,,,,,,9893,1,397,10291,16438,
22,QUERETARO,10,EL MARQUES,34,208,35484,16522,671,478,1461,11873,2186,412,617,883,906,,,,,,,,,,,,,,,,,,,,71493,53,1494,73040,138737,
22,QUERETARO,11,PEDRO ESCOBEDO,24,88,13372,5499,387,236,608,3803,,111,427,690,2328,,,,,,,,,,,,,,,,989,,,,28450,8,675,29133,55403,
22,QUERETARO,12,PEÑAMILLER,14,31,5639,71,,,4638,365,,,94,,,,,,,,,,,,,,,,,,,,,,10807,3,258,11068,15007,
22,QUERETARO,13,PINAL DE AMOLES,18,42,5656,4166,576,65,152,,327,841,,,173,,141,,,,,104,,,,,,,,,,,,,12201,3,465,12669,20101,
22,QUERETARO,14,QUERETARO,424,1273,179008,58708,4997,8768,5771,104141,3047,2872,2308,2967,2655,1667,,,,,,,,,,,,,,,,,,,376909,293,8318,385520,785595,
22,QUERETARO,15,SAN JOAQUIN,7,16,957,50,,,1955,336,,19,,,,30,,,,,,,,,,,,,,,,756,,,4103,1,172,4276,7094,
22,QUERETARO,16,SAN JUAN DEL RIO,104,358,44561,14436,1180,1669,2413,23191,,6374,1413,1352,1923,,,,,,,,,,,,,,,,,,,,98512,54,2330,100896,218494,
22,QUERETARO,17,TEQUISQUIAPAN,30,90,5369,6098,4049,,510,5273,,267,142,3663,467,,,,,,,,,,,,,,,,,,6931,,32769,398,824,33991,55519,
22,QUERETARO,18,TOLIMAN,14,40,3624,1305,361,1120,258,3494,173,203,212,3456,423,,,,,,,,,,,,,,,,,,,228,14857,3,341,15201,21516,
