ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,NASLP,PES,RSP,FXM,PAN_PRI_PRD_PCP,PAN_PRI_PRD,PAN_PRI_PCP,PAN_PRD_PCP,PRI_PRD_PCP,PAN_PRI,PAN_PRD,PAN_PCP,PRI_PRD,PRI_PCP,PRD_PCP,PT_PVEM,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,AHUALULCO,14,29,1270,660,396,321,2434,256,26,,3580,,,,84,11,1,3,1,36,8,8,5,5,6,,,9111,,297,9408,14796,
24,SAN LUIS POTOSI,2,ALAQUINES,19,20,1409,2186,,31,432,,,230,10,51,,,,,,,,,,,,,,53,,4402,1,156,4559,6418,
24,SAN LUIS POTOSI,3,AQUISMON,26,64,6653,1311,59,143,3272,56,,2375,85,,10094,100,252,106,42,6,,254,31,11,4,,1,385,,25240,1,878,26119,34347,
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,10,11,193,1511,17,109,561,9,,230,74,,,,44,21,5,,4,26,1,,2,4,,97,,2908,,81,2989,4027,
24,SAN LUIS POTOSI,5,CARDENAS,20,30,2541,377,95,1313,3153,125,14,495,6,42,7,390,111,29,18,7,2,51,16,5,2,2,1,365,,9167,,189,9356,14725,
24,SAN LUIS POTOSI,6,CATORCE,18,20,1561,635,17,148,307,15,1857,157,72,84,,,101,33,10,,1,50,5,,,,2,48,,5103,,193,5296,7153,
24,SAN LUIS POTOSI,7,CEDRAL,17,29,,1548,,300,1825,261,2855,806,49,45,,461,,,,,,,,,,,,259,,8409,2,222,8633,14545,
24,SAN LUIS POTOSI,8,CERRITOS,26,39,1504,1623,91,171,3372,63,,2401,170,,,,150,39,9,2,3,71,6,1,6,6,2,285,,9975,10,229,10214,17735,
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,10,,1676,7,68,228,,35,188,6,29,9,,,,,,,,,1033,,,,24,,3303,1,120,3424,4370,
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,48,,1952,,2894,1579,20,,455,373,3457,,,,,,,,,3969,,,,,,,14699,,491,15190,23310,
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,67,5399,2218,,488,5088,3645,899,689,153,470,,,,,,,,,,,,,,389,,19438,3,599,20040,37073,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,28,1102,,2533,42,118,,2367,278,2935,,,68,,,,,,,,,,1139,,5,,10587,,545,11132,14975,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,232,7058,5878,1249,6017,21709,1129,595,11105,3703,1134,3921,451,586,212,40,19,15,204,34,16,19,19,9,2534,,67656,76,2047,69779,130478,
24,SAN LUIS POTOSI,14,COXCATLAN,13,24,,2112,766,68,545,,214,1924,83,,,,,,,,,,,2061,,,,68,,7841,1,439,8281,12079,
24,SAN LUIS POTOSI,15,CHARCAS,21,34,,,,464,3540,,27,330,196,217,,22,,,,,,,2306,,,2180,,297,,9579,8,342,9929,15972,
24,SAN LUIS POTOSI,16,EBANO,32,57,3838,306,276,300,6634,192,,1408,99,385,,4126,130,60,14,8,3,51,25,14,,,1,447,,18317,3,612,18932,30498,
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,42,424,6299,47,37,218,121,1105,620,63,,1779,,214,85,22,1,7,88,8,2,21,26,,1,,11188,1,591,11780,18936,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,790,2880,168,75,2591,64,111,538,62,,,,145,52,11,3,5,96,4,,16,12,6,234,,7863,1,329,8193,11213,
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,73,68,6,247,50,12,903,389,98,499,282,470,11,3,,,,8,1,2,,,,37,,3159,1,129,3289,4738,
24,SAN LUIS POTOSI,20,MATEHUALA,64,135,10864,2803,535,606,7936,459,930,5916,586,1043,,,892,382,75,35,6,390,103,35,13,12,11,956,,34588,14,1015,35617,73544,
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,78,,,,368,2383,,11327,1405,617,301,44,,,,,,,,2618,,,7028,,244,421,26756,4,1144,27904,43985,
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,30,2715,558,88,1140,3340,110,367,224,25,,50,,150,27,25,5,1,88,22,10,2,2,2,664,,9615,,203,9818,14720,
