ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAS,PES,RSP,FXM,PAN_PRI_PRD,CAND_COM_PAN_PRI_PRD,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,ACONCHI,2,5,7,519,,,624,630,66,,1,,,0,,,,,,,,,,,,1847,0,36,1883,2490,
26,SONORA,2,AGUA PRIETA,29,108,3213,1447,279,573,324,632,9968,,7882,1392,249,479,,950,608,,,,,,,,,27996,7,636,28639,68286,
26,SONORA,3,ALTAR,7,14,218,1187,36,,,,2369,17,,,,98,,,,,,,,,,,,3925,0,55,3980,6835,
26,SONORA,4,ARIVECHI,3,4,1,49,1,38,288,118,55,23,250,,,8,,,,,,,,,,,,831,0,12,843,1101,
26,SONORA,5,ARIZPE,5,7,111,793,16,,53,,1117,,,,,66,,,,,,,,,,,,2156,0,47,2203,2942,
26,SONORA,6,ATIL,1,2,48,235,5,,,2,3,,,,,20,,,,,,,,,,,,313,0,12,325,776,
26,SONORA,7,BACADEHUACHI,1,2,25,313,5,,379,0,212,,,,,13,,,,,,,,,,,,947,0,5,952,1148,
26,SONORA,8,BACANORA,3,4,492,5,,,2,,323,,,,,0,,,,,,,,,,,,822,0,3,825,1106,
26,SONORA,9,BACERAC,1,2,22,425,9,,,,462,,,,,39,,,,,,,,,,,,957,0,5,962,1159,
26,SONORA,10,BACOACHI,2,3,6,206,371,,,222,9,100,,,,0,,,,,,,,,,,,914,8,14,936,1462,
26,SONORA,11,BANAMICHI,2,3,54,245,2,,404,386,64,,,,,57,,,,,,,,,,,,1212,0,18,1230,1591,
26,SONORA,12,BAVIACORA,6,9,520,163,13,,506,13,973,,119,,,67,,,,,,,,,,,,2374,1,59,2434,3446,
26,SONORA,13,BAVISPE,2,2,9,565,1,,,,406,,,,,15,,,,,,,,,,,,996,0,2,998,1269,
26,SONORA,14,BENJAMIN HILL,4,8,,,,,615,157,235,509,,,45,0,552,,,,,,,,,,,2113,0,48,2161,3711,
26,SONORA,15,CANANEA,19,50,,,,316,837,373,1310,,,,,0,2608,,,,6559,,,,,,,12003,1,322,12326,29426,
26,SONORA,16,CUCURPE,1,2,288,9,,,3,,24,,,,,0,,,,,,,,,,,,324,322,16,662,1014,
26,SONORA,17,CUMPAS,8,12,154,997,28,,1612,219,619,,,,,157,,,,,,,,,,,,3786,0,56,3842,5366,
26,SONORA,18,DIVISADEROS,1,2,6,512,2,,,248,153,,0,,,1,,,,,,,,,,,,922,0,4,926,1147,
26,SONORA,19,FRONTERAS,5,13,,,,,,1432,856,,77,,,0,1510,,,,,,,,,,,3875,1,107,3983,6507,
26,SONORA,20,GRANADOS,1,2,38,259,10,,,537,52,,,,,12,,,,,,,,,,,,908,0,5,913,1133,
26,SONORA,21,HUACHINERA,2,2,27,458,3,,,,346,,,,,24,,,,,,,,,,,,858,0,3,861,1037,
26,SONORA,22,HUASABAS,1,2,33,103,0,,,,74,675,,,,21,,,,,,,,,,,,906,0,15,921,1332,
26,SONORA,23,HUEPAC,2,3,69,322,3,,416,20,103,,,,,27,,,,,,,,,,,,960,0,19,979,1378,
26,SONORA,24,IMURIS,8,17,451,1169,,555,1063,250,318,926,,,,0,,,,,,,,,,,,4732,0,104,4836,9878,
26,SONORA,25,MAGDALENA,15,44,2542,1094,93,124,86,603,1215,,,45,,470,,,,,,,,,5733,,,12005,4,325,12334,25338,
26,SONORA,26,MOCTEZUMA,4,9,123,669,13,,513,42,1572,,,,,59,,,,,,,,,,,,2991,2,32,3025,4503,
26,SONORA,27,NACO,4,9,1403,959,,,195,9,232,,14,,,0,,,,,,,,,,,,2812,0,39,2851,4600,
26,SONORA,28,NACORI CHICO,2,4,3,351,,,307,468,,,,,,0,,,,,,,,,,,,1129,0,15,1144,1462,
26,SONORA,29,NACOZARI DE GARCIA,10,19,,,,168,800,93,1290,,,,,0,1253,,,,,,,,,2211,,5815,0,89,5904,10158,
26,SONORA,30,NOGALES,132,337,,,,2340,2372,6044,26826,,981,637,899,0,23959,,,,,,,,,,,64058,28,1872,65958,201870,
26,SONORA,31,OQUITOA,1,1,3,189,1,,,,183,,,,,8,,,,,,,,,,,,384,0,0,384,444,
26,SONORA,32,SAHUARIPA,9,12,257,1118,27,,14,25,1096,,,,,187,,,,,,,,,,,,2724,0,57,2781,4466,
26,SONORA,33,SAN FELIPE DE JESUS,1,1,76,78,6,,,269,16,,,,,28,,,,,,,,,,,,473,0,4,477,557,
26,SONORA,34,SAN JAVIER,1,1,37,122,0,86,19,70,177,,,,,9,,,,,,,,,,,,520,0,4,524,654,
26,SONORA,35,SAN PEDRO DE LA CUEVA,2,3,8,599,3,,,18,,810,,,,22,,,,,,,,,,,,1460,0,21,1481,1922,
26,SONORA,36,SANTA ANA,12,24,306,1516,54,49,39,1147,3331,,,,,282,,,,,,,,,,,,6724,3,190,6917,12635,
26,SONORA,37,SANTA CRUZ,1,3,,,,,30,130,488,,34,,,0,156,,,,,,,,,,,838,0,33,871,1454,
26,SONORA,38,SARIC,2,4,2,29,0,40,,,25,,,853,,0,,,,,,,,,,,,949,0,49,998,1848,
26,SONORA,39,SOYOPA,5,5,878,9,,,,69,51,638,,,,0,,,,,,,,,,,,1645,0,43,1688,1920,
26,SONORA,40,SUAQUI GRANDE,1,3,629,8,,,,,662,,,,,0,,,,,,,,,,,,1299,0,10,1309,1548,
26,SONORA,41,TEPACHE,2,2,142,233,26,,0,235,364,,,,,25,,,,,,,,,,,,1025,0,6,1031,1438,
26,SONORA,42,TRINCHERAS,2,3,52,407,4,,,503,38,,,,,70,,,,,,,,,,,,1074,0,15,1089,1437,
26,SONORA,43,TUBUTAMA,4,5,13,458,1,,,,524,,,,,27,,,,,,,,,,,,1023,0,7,1030,1448,
