ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,PS,MORENA,PANALT,PEST,PISSI,PES,RSP,FXM,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,CAND_IND06,CAND_IND07,CAND_IND08,CAND_IND09,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,13,70,754,335,640,16,225,604,83,912,39,266,0,345,400,593,412,,,,,,,,,,,,,,,,,,,5694,3,112,5809,8444,
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,20,2272,336,30,302,36,777,185,1571,1599,191,51,465,320,31,443,,,,,,,,,,,,,,,,,,,,8609,2,156,8767,12204,
29,TLAXCALA,3,APIZACO,37,106,8173,3455,4219,4513,608,467,411,0,6100,167,2420,81,2548,3216,1259,,1165,,,,,,,,,,,,,,,,,,38802,0,971,39773,66421,
29,TLAXCALA,4,ATLANGATEPEC,9,11,751,973,146,8,255,0,202,364,173,396,176,104,8,32,201,,,,,,,,,,,,,,,,,,,,3789,0,90,3879,5104,
29,TLAXCALA,5,ATLTZAYANCA,19,28,2050,2665,935,93,2553,138,67,0,1042,27,0,35,15,252,0,,,,,,,,,,,,,,,,,,,,9872,1,346,10219,12894,
29,TLAXCALA,6,CALPULALPAN,21,59,1887,2227,2065,316,764,129,4490,1363,2880,0,167,266,292,868,1818,,,,,,,,,,,,,,,,,,,,19532,5,510,20047,35982,
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,20,886,190,819,168,21,0,2822,0,1333,0,0,25,0,1554,0,,,,,,,,,,,,,,,,,,,,7818,0,320,8138,12223,
29,TLAXCALA,8,CUAPIAXTLA,10,21,261,2510,631,1556,19,12,191,55,927,428,7,12,62,495,829,,,,,,,,,,,,,,,,,,,,7995,1,209,8205,11021,
29,TLAXCALA,9,CUAXOMULCO,5,8,858,129,7,128,8,11,13,13,298,0,10,267,266,63,507,,,775,,,,,,,,,,,,,,,,,3353,1,104,3458,4599,
29,TLAXCALA,10,CHIAUTEMPAN,31,91,1999,2105,2774,2632,2548,648,710,178,8037,264,673,120,0,634,639,,,,1067,,,,,,,,,,,,,,,,25028,0,886,25914,54977,
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,205,100,2,12,9,21,11,108,228,0,850,537,521,22,0,,,,,,,,,,,,,,,,,,,,2626,1,68,2695,3737,
29,TLAXCALA,12,ESPAÑITA,13,17,1728,1807,9,730,0,61,8,9,252,28,0,7,3,0,0,,,,,,,,,,,,,,,,,,,,4642,1,330,4973,7037,
29,TLAXCALA,13,HUAMANTLA,42,111,9594,0,1910,582,10717,3,0,819,9396,332,1784,126,311,1358,709,,,,,,,,,,,,,,,,,,877,,38518,115,1544,40177,68269,
29,TLAXCALA,14,HUEYOTLIPAN,12,21,859,2068,14,23,22,508,306,39,1976,0,0,0,0,2307,0,,,,,,,,,,,,,,,,,,,,8122,0,221,8343,11646,
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,25,52,897,3138,873,518,836,0,1421,228,6579,140,711,438,357,1705,754,,,,,,,,,,,,,,,,,,,,18595,5,588,19188,29554,
29,TLAXCALA,16,IXTENCO,4,10,99,298,67,443,0,356,100,557,428,511,499,296,31,103,55,,,,,,,,,,,,,,,,,,,,3843,0,80,3923,5604,
29,TLAXCALA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,4,12,244,1031,1017,19,510,75,52,5,533,9,791,10,0,72,0,,,,,904,,,,,,,,,,,,,,,5272,1,119,5392,7968,
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,17,45,2265,1521,106,1590,106,418,564,405,5633,2776,356,361,1107,1032,159,,,,,,,,,,,,,,,,,,,,18399,5,528,18932,27928,
29,TLAXCALA,19,TEPETITLA DE LARDIZABAL,8,24,1247,60,677,2085,281,1551,305,289,2288,268,0,0,528,51,315,,,,,,,,,,,,,,,,,,,,9945,1,296,10242,15487,
29,TLAXCALA,20,SANCTORUM DE LAZARO CARDENAS,5,12,570,696,397,421,0,0,142,552,763,11,128,5,209,455,0,,,,,,,,,,,,,,,,,,,,4349,0,140,4489,6864,
29,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA,10,23,32,855,1516,1579,188,342,971,1219,1962,28,6,1,48,92,0,,,,,,,,,,,,,,,,,,,,8839,1,206,9046,13665,
29,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO,4,8,20,518,22,4,2,192,0,916,528,701,0,0,131,931,0,,,,,,,,,,,,,,,,,,,,3965,0,78,4043,4871,
29,TLAXCALA,23,NATIVITAS,14,33,714,347,325,2621,1555,2121,2043,926,1655,234,11,144,44,98,36,,,,,,,,,,,,,,,,,,,,12874,1,325,13200,19140,
29,TLAXCALA,24,PANOTLA,16,36,229,1412,64,1930,425,383,684,444,2665,1372,1153,795,596,762,944,,,,,,,,,,,,,,,,,,,,13858,13,459,14330,20812,
29,TLAXCALA,25,SAN PABLO DEL MONTE,17,85,461,6114,2202,3708,2181,4600,1311,192,5411,7343,404,370,378,610,879,,,,,,,,,,,,,,,,,,,,36164,0,0,36164,58289,
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,8,25,1069,950,41,150,1048,1051,1472,1197,2130,35,28,14,37,991,69,,,,,,,,,,,,,,,,,,,,10282,0,268,10550,15620,
29,TLAXCALA,27,TENANCINGO,6,15,875,1277,19,102,0,10,148,274,1385,6,187,0,81,602,350,,,,,,,,,,,,,,,,,,,,5316,1,188,5505,9115,
29,TLAXCALA,28,TEOLOCHOLCO,9,29,443,567,937,2431,1781,357,1044,0,4137,458,0,118,31,297,391,,,,,,,,,,,,,,,,,,,,12992,0,380,13372,17875,
29,TLAXCALA,29,TEPEYANCO,7,16,395,511,465,1529,10,162,486,877,474,1253,14,277,16,257,184,,,,,,,,,,,,,,,,,,,,6910,0,111,7021,9301,
29,TLAXCALA,30,TERRENATE,8,18,162,1113,144,414,133,36,1893,3172,999,0,0,42,0,28,0,,,,,,,,,,,,,,,,,,,,8136,0,242,8378,10806,
29,TLAXCALA,31,TETLA DE LA SOLIDARIDAD,15,38,639,1066,489,1907,58,0,0,3462,3234,49,700,33,141,676,594,,,,,,1390,,,,,,,,,,,,,,14438,0,381,14819,23180,
29,TLAXCALA,32,TETLATLAHUCA,7,17,21,39,13,1335,1381,10,1711,135,133,496,0,0,1251,0,0,,,,,,,,,,,,,,,,,,,,6525,0,112,6637,9739,
29,TLAXCALA,33,TLAXCALA,36,120,7149,6742,263,1281,500,613,6782,265,16077,801,300,380,458,436,642,,,,,,,,,,,,,,,,,,,5288,47977,0,1128,49105,76407,
29,TLAXCALA,34,TLAXCO,36,64,5203,2702,6252,184,138,4,1446,350,3161,328,4,86,1,1284,7,,,,,,,,,,,,,,,,,,,,21150,4,744,21898,33043,
29,TLAXCALA,35,TOCATLAN,3,8,21,912,3,506,369,2,73,33,97,7,1,85,1,111,494,,,,,,,729,,,,,,,,,,,,,3444,0,74,3518,4666,
29,TLAXCALA,36,TOTOLAC,13,32,220,2117,667,931,304,221,558,437,1876,627,829,227,1108,798,830,,,,,,,,,,,,,,,,,,,,11750,0,386,12136,17454,
29,TLAXCALA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,7,13,73,1302,288,49,0,954,100,293,461,626,263,106,175,36,0,,,,,,,,,,,,,,,,,,,,4726,0,202,4928,6809,
29,TLAXCALA,38,TZOMPANTEPEC,8,19,1508,1858,729,119,28,452,353,123,1544,20,141,319,88,304,159,,,,,,,,,,,,,,,,,,,,7745,0,203,7948,12007,
29,TLAXCALA,39,XALOZTOC,9,27,1941,641,410,1987,1283,1730,252,253,641,187,13,329,363,493,73,,,,,,,,950,,,,,,,,,,,,11546,2,281,11829,17571,
29,TLAXCALA,40,XALTOCAN,9,16,747,363,590,34,643,75,119,62,677,8,12,3,110,2069,82,,,,,,,,,,,,,,,,,130,,,5724,25,203,5952,8453,
29,TLAXCALA,41,PAPALOTLA DE XICOHTENCATL,12,36,245,2280,730,2842,835,635,88,34,2150,120,0,22,1106,1442,646,,,,,,,,,646,,,,,,,,,,,13821,0,350,14171,22817,
29,TLAXCALA,42,XICOHTZINCO,5,19,138,259,1215,664,0,908,31,201,1191,965,110,316,0,556,290,,,,,,,,,,,,,,,,,,,,6844,0,114,6958,11237,
29,TLAXCALA,43,YAUHQUEMEHCAN,11,40,2225,2022,279,267,633,106,2827,58,2948,54,152,38,851,1330,813,,,,,,,,,,,,,,,,,,,,14603,4,414,15021,26016,
29,TLAXCALA,44,ZACATELCO,14,53,1489,2216,1625,1675,1311,1058,512,1410,3232,4080,378,51,0,1453,923,,,,,,,,,,877,,,,,,,,,,22290,2,666,22958,34709,
29,TLAXCALA,45,SANTA APOLONIA TEACALCO,2,6,56,28,2,587,0,2,3,317,786,420,171,0,590,0,86,,,,,,,,,,,,,,,,,,,,3048,0,55,3103,3774,
29,TLAXCALA,46,SANTA CRUZ QUILEHTLA,3,8,7,0,294,454,520,495,684,0,572,9,0,0,0,75,56,,,,,,,,,,,,,,,,,,,,3166,0,69,3235,5169,
29,TLAXCALA,47,SAN JUAN HUACTZINCO,2,9,115,585,6,158,235,109,76,213,349,3,256,115,823,852,397,,,,,,,,,,,,,,,,,,,,4292,0,123,4415,5587,
29,TLAXCALA,48,SANTA CATARINA AYOMETLA,4,11,15,34,35,1062,4,1093,535,0,321,625,936,92,0,512,0,,,,,,,,,,,,,,,,,,,,5264,0,140,5404,7145,
29,TLAXCALA,49,SANTA ISABEL XILOXOXTLA,2,6,253,475,38,574,21,300,89,306,302,33,1,3,0,0,0,,,,,,,,,,,,,,,,,,,,2395,1,76,2472,3361,
29,TLAXCALA,50,SAN JOSE TEACALCO,5,8,191,348,97,3,7,230,665,7,115,0,223,312,10,0,81,,,,,,,,,,,771,345,,,,,,,,3405,0,78,3483,4434,
29,TLAXCALA,51,SAN FRANCISCO TETLANOHCAN,3,13,244,223,5,847,585,36,741,11,671,1352,0,533,12,371,434,,,,,,,,,,,,,,,,,,,,6065,0,205,6270,8504,
29,TLAXCALA,52,LA MAGDALENA TLALTELULCO,5,21,485,1353,284,1416,1885,27,9,1018,749,606,9,5,30,52,1439,,,,,,,,,,,,,321,185,,,,,,9873,1,199,10073,13667,
29,TLAXCALA,53,SAN DAMIAN TEXOLOC,2,7,5,73,8,1334,3,206,755,8,877,7,1,4,10,0,3,,,,,,,,,,,,,,,,,,,,3294,0,34,3328,4596,
29,TLAXCALA,54,EMILIANO ZAPATA,4,8,9,1203,13,7,10,8,0,84,338,9,0,0,15,13,694,,,,,,,,,,,,,,,257,,,,,2660,0,50,2710,3324,
29,TLAXCALA,55,LAZARO CARDENAS,2,4,70,70,2,284,53,1,36,23,30,311,0,0,723,2,159,,,,,,,,,,,,,,,,192,,,,1956,0,45,2001,2376,
29,TLAXCALA,56,SAN JERONIMO ZACUALPAN,2,5,0,145,1,936,0,1090,0,4,26,0,347,0,7,0,0,,,,,,,,,,,,,,,,,,,,2556,1,37,2594,3136,
29,TLAXCALA,57,SAN LUCAS TECOPILCO,2,5,1,183,0,401,0,0,0,426,60,4,799,3,9,4,0,,,,,,,,,,,,,,,,,,,,1890,0,45,1935,2536,
29,TLAXCALA,58,SANTA ANA NOPALUCAN,2,8,121,118,1542,1776,0,0,0,9,469,0,341,0,6,4,34,,,,,,,,,,,,,,,,,,,,4420,0,82,4502,5710,
29,TLAXCALA,59,SAN LORENZO AXOCOMANITLA,2,6,18,69,1213,814,0,4,6,63,632,0,2,277,0,0,36,,,,,,,,,,,,,,,,,,,,3134,0,71,3205,3944,
29,TLAXCALA,60,BENITO JUAREZ,2,7,8,908,1697,8,0,0,6,3,192,0,143,50,2,25,0,,,,,,,,,,,,,,,,,,,,3042,0,49,3091,4575,
