ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,TXVER,PODEMOS,PC,UC,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,ACAJETE,4,12,75,921,277,619,40,1060,221,,8,4,441,,1179,5,,,,,24,14,15,1,,,,,,,,,,,,,,,4904,0,145,5049,6945,
30,VERACRUZ,2,ACATLAN,2,4,350,46,42,354,525,419,476,,0,,0,,7,0,15,3,2,0,,,,,,,,,,,,,,,,,,,2239,0,23,2262,2542,
30,VERACRUZ,3,ACAYUCAN,40,107,841,922,12311,658,296,308,11711,298,105,38,166,706,405,6850,377,16,74,50,139,14,74,34,,,,,,,,,,,,,,,36393,9,1023,37425,64203,
30,VERACRUZ,4,ACTOPAN,38,65,1465,955,727,1640,1567,2283,5502,2183,1222,515,153,213,1460,1506,,,,,,,,,,,,,,,,,,,,,,,21391,0,443,21834,32487,
30,VERACRUZ,5,ACULA,7,9,31,35,7,1250,49,13,1270,15,465,1,2,44,21,10,1,0,2,0,46,10,22,1,,,,,,,,,,,,,,,3295,0,55,3350,4184,
30,VERACRUZ,6,ACULTZINGO,14,28,52,141,1281,52,85,37,816,65,42,130,358,487,4258,2124,,,,,15,1,0,3,,,,,,,,,,,,,,,9947,1,388,10336,14956,
30,VERACRUZ,206,AGUA DULCE,29,64,326,1795,1606,104,479,378,7712,2993,214,,1177,1155,138,343,,,,,45,7,9,53,,,,,,,,,,,,,,,18534,1,482,19017,33230,
30,VERACRUZ,8,ALAMO TEMAPACHE,69,146,15765,1312,1647,3161,1169,698,11527,1034,963,,,1230,531,4917,,,,,119,46,94,56,,,,,,,,,,,,,,,44269,1,1159,45429,80760,
30,VERACRUZ,9,ALPATLAHUAC,5,12,1826,23,2387,29,,6,303,18,10,4,,,366,,,,,,,,,,,,,,,,,,,,,,,,4972,,129,5101,6733,
30,VERACRUZ,10,ALTO LUCERO DE GUTIERREZ BARRIOS,33,48,156,1850,1638,188,1117,2911,1706,95,398,45,2189,125,71,2574,,,,,53,23,8,45,,,,,,,,,,,,,,,15192,9,507,15708,22295,
