ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,NAY,CAND_IND1,PAN_PRD_NAY,PAN_PRD,PAN_NAY,PRD_NAY,PRI_PRD_NAY,PRI_PRD,PRI_NAY,PRD_NAY_2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,ABALA,6,11,1549,2095,0,58,194,57,445,0,0,6,5,0,0,0,1,0,0,0,0,0,4410,0,66,4476,5069,
31,YUCATAN,2,ACANCEH,7,18,1685,42,55,1180,0,1871,356,186,0,493,3452,0,0,14,0,0,0,0,0,0,9334,0,299,9633,12266,
31,YUCATAN,3,AKIL,5,14,421,2205,148,4,3069,298,157,11,0,0,5,0,0,0,0,0,0,0,0,0,6318,1,124,6443,8328,
31,YUCATAN,4,BACA,5,8,974,965,9,1335,0,358,169,0,0,36,28,0,0,0,7,0,0,5,0,0,3886,13,111,4010,4708,
31,YUCATAN,5,BOKOBA,2,4,678,886,0,0,0,0,16,240,0,0,0,0,0,0,2,0,0,1,0,0,1823,0,47,1870,2046,
31,YUCATAN,6,BUCTZOTZ,6,12,3261,1852,17,0,0,161,678,0,0,0,6,0,0,0,7,0,0,1,0,0,5983,1,77,6061,7286,
31,YUCATAN,7,CACALCHEN,4,10,1176,1927,17,423,0,1014,164,4,0,0,5,0,0,0,2,0,0,13,0,0,4745,6,104,4855,5806,
31,YUCATAN,8,CALOTMUL,4,7,1210,1963,0,0,15,0,19,0,0,0,5,0,0,0,4,0,0,0,0,0,3216,0,31,3247,3615,
31,YUCATAN,9,CANSAHCAB,6,9,1111,703,868,77,0,55,147,0,0,0,125,0,0,0,0,0,0,0,0,0,3086,0,64,3150,3800,
31,YUCATAN,10,CANTAMAYEC,3,4,366,895,470,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,1741,,14,1755,1902,
31,YUCATAN,11,CELESTUN,4,10,1135,859,858,902,0,28,265,765,0,84,2,0,0,0,1,0,0,0,0,0,4899,1,187,5087,5995,
31,YUCATAN,12,CENOTILLO,5,7,1527,729,0,0,0,2,284,0,34,0,17,0,0,0,0,0,0,0,0,0,2593,0,27,2620,3146,
31,YUCATAN,13,CONKAL,6,17,1942,3201,18,37,42,156,995,13,49,83,9,0,0,0,1,0,0,4,0,0,6550,1,91,6642,10093,
31,YUCATAN,14,CUNCUNUL,2,3,357,839,0,64,0,2,87,0,0,0,5,0,0,0,0,0,0,0,0,0,1354,0,18,1372,1488,
31,YUCATAN,15,CUZAMA,3,6,1204,857,29,56,0,56,1131,0,0,0,3,0,0,0,0,0,1,12,0,0,3349,0,48,3397,4033,
