ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PANALZ,PAZ,MDZ,PP,FAM,PES,RSP,FXM,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA_PANALZ,PT_PVEM_MORENA,PT_PVEM_PANALZ,PT_MORENA_PANALZ,PVEM_MORENA_PANALZ,PT_PVEM,PT_MORENA,PT_PANALZ,PVEM_MORENA,PVEM_PANALZ,MORENA_PANALZ,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,12,36,1050,515,,20,,1546,96,,,,,,,,,,,,,,,,,,,,,,,,,3263,0,71,3334,5465,https://ieez.org.mx/PE2021/SesionComputo_2021/mun1.jpg
32,ZACATECAS,2,APULCO,8,10,116,1089,47,,,,,219,,,,,127,,,19,2,0,1,,,,,,,,,,,,,,1620,3,214,1837,4326,https://ieez.org.mx/PE2021/SesionComputo_2021/mun2.jpg
32,ZACATECAS,3,ATOLINGA,7,8,392,344,29,,471,,102,14,,,,,48,,,64,16,2,0,,,,,,,,,,,,,,1482,0,55,1537,2389,https://ieez.org.mx/PE2021/SesionComputo_2021/mun3.jpg
32,ZACATECAS,4,BENITO JUAREZ,9,9,863,143,29,126,1017,,152,3,,,,,,,,77,14,5,0,,,,,,,,,,,,,,2429,0,50,2479,3575,https://ieez.org.mx/PE2021/SesionComputo_2021/mun4.jpg
32,ZACATECAS,5,CALERA,21,55,2882,949,255,348,521,144,2775,305,4275,472,4,74,1417,,473,195,37,13,11,,,,,,,,,,,,,,15150,2,401,15553,30526,https://ieez.org.mx/PE2021/SesionComputo_2021/mun5.jpg
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,18,106,160,156,1704,37,273,761,15,,,5,1039,,108,5,1,2,0,,,,,,,,,,,,,,4390,0,103,4493,6076,https://ieez.org.mx/PE2021/SesionComputo_2021/mun6.jpg
32,ZACATECAS,9,CHALCHIHUITES,21,25,74,2230,20,379,36,1,2115,37,223,,,19,,1,,59,15,0,2,,,,,,,,,,,,,,5211,0,88,5299,8370,https://ieez.org.mx/PE2021/SesionComputo_2021/mun9.jpg
32,ZACATECAS,7,CONCEPCION DEL ORO,22,27,55,2336,19,62,146,236,390,3132,2,,1,8,94,,,47,5,0,7,,,,,,,,,,,,,,6540,0,148,6688,9719,https://ieez.org.mx/PE2021/SesionComputo_2021/mun7.jpg
32,ZACATECAS,8,CUAUHTEMOC,11,18,94,1013,151,19,2217,465,925,1436,11,2,,10,,,,24,11,0,5,,,,,,,,,,,,,,6383,0,142,6525,9194,https://ieez.org.mx/PE2021/SesionComputo_2021/mun8.jpg
32,ZACATECAS,15,EL PLATEADO DE JOAQUIN AMARO,5,5,18,178,40,19,8,2,358,13,0,,445,,3,,4,15,0,2,1,0,0,0,0,0,0,0,0,1,0,3,,,1110,0,54,1164,1668,https://ieez.org.mx/PE2021/SesionComputo_2021/mun15.jpg
