ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,RSPD,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_RSPD,PVEM_PT_MORENA,PVEM_PT_RSPD,PVEM_MORENA_RSPD,PVEM_PT,PVEM_MORENA,PVEM_RSPD,PT_MORENA_RSPD,PT_MORENA,PT_RSPD,MORENA_RSPD,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
10,DURANGO,1,CANATLAN,37,55,4489,1458,156,4805,413,587,1651,139,170,320,24,6,51,83,18,19,75,185,46,5,34,5,20,,14759,2,421,15182,24940,
10,DURANGO,2,CANELAS,12,13,638,290,,12,22,,928,111,,,,,4,0,0,1,0,1,1,3,4,0,22,,2037,0,38,2075,3161,
10,DURANGO,3,CONETO DE COMONFORT,9,11,179,444,600,22,60,,770,47,40,7,7,15,3,3,4,4,3,5,1,1,9,3,7,,2234,0,33,2267,3372,
10,DURANGO,4,CUENCAME,37,54,728,4175,706,1120,199,,5341,236,124,65,5,23,47,31,20,14,12,114,7,19,45,7,33,,13071,11,339,13421,26166,
10,DURANGO,5,DURANGO,329,825,49150,55730,2600,1797,24099,35902,38640,3076,2310,3980,73,113,400,219,47,37,81,102,17,339,2661,288,300,2162,224123,99,3894,228116,496699,
10,DURANGO,6,SIMON BOLIVAR,15,22,1439,2267,,73,25,,1213,124,,,,,5,1,2,3,2,4,8,0,0,1,12,,5179,0,98,5277,7715,
10,DURANGO,7,GOMEZ PALACIO,206,456,7373,55888,1664,1055,714,3429,43195,1155,1168,1029,33,99,218,140,25,35,21,119,15,56,165,27,365,,117988,1157,2078,121223,264967,
10,DURANGO,8,GUADALUPE VICTORIA,26,55,1778,3039,3172,4721,274,864,2060,267,160,78,44,68,76,71,15,29,41,291,54,3,16,1,24,,17146,4,534,17684,29526,
10,DURANGO,9,GUANACEVI,19,27,314,3496,,53,60,0,750,,,,,,,,,,,,,,,,,,4673,1,141,4815,7530,
10,DURANGO,10,HIDALGO,7,10,11,795,813,2,242,121,102,14,,,,,1,1,0,0,0,0,0,0,19,2,2,,2125,0,76,2201,3265,
10,DURANGO,11,INDE,16,17,989,603,9,12,27,,454,32,83,100,4,2,2,1,1,0,1,1,0,1,3,3,5,,2333,1,64,2398,4442,
10,DURANGO,12,LERDO,79,192,3933,23493,523,1091,824,2669,21469,880,394,380,13,25,87,69,21,18,25,99,15,38,94,14,188,,56362,13,1082,57457,112335,
10,DURANGO,13,MAPIMI,24,41,539,3503,202,196,139,852,4488,225,75,86,4,9,19,8,2,3,2,14,2,7,23,6,40,,10444,3,185,10632,18774,
10,DURANGO,14,MEZQUITAL,32,66,223,9350,17,3744,115,87,1586,216,,,,,21,10,7,7,35,138,45,0,9,3,8,,15621,3950,957,20528,33029,
10,DURANGO,15,NAZAS,17,21,2031,611,18,29,510,,2605,137,68,168,3,2,32,18,12,5,6,8,0,18,44,10,24,,6359,2,136,6497,9765,
10,DURANGO,16,NOMBRE DE DIOS,19,30,803,657,2403,240,1740,364,1234,85,107,29,53,72,27,27,3,2,12,7,1,17,152,17,8,,8060,1,250,8311,15120,
10,DURANGO,17,NUEVO IDEAL,29,46,2789,3495,56,63,87,217,3260,234,,,,,20,8,2,1,1,12,4,10,21,6,79,,10365,2,316,10683,21631,
10,DURANGO,18,OCAMPO,16,17,791,1165,26,20,33,55,884,98,44,48,1,1,6,1,0,0,0,4,0,2,2,2,13,,3196,776,168,4140,6961,
10,DURANGO,19,EL ORO,23,29,683,1540,125,36,92,,1763,79,80,86,2,6,19,8,6,1,2,7,2,8,36,4,12,,4597,4,133,4734,9913,
10,DURANGO,20,OTAEZ,14,16,994,38,7,20,30,,1386,224,,,,,10,2,1,3,2,1,0,10,3,2,28,,2761,0,55,2816,3933,
10,DURANGO,21,PANUCO DE CORONADO,16,24,605,1893,167,106,310,106,2566,162,36,55,3,5,24,7,6,3,4,11,5,7,46,6,26,,6159,0,128,6287,10854,
10,DURANGO,22,PEÑON BLANCO,14,19,1034,1003,95,124,53,522,1762,151,56,54,9,0,5,5,2,4,3,9,0,4,10,1,27,,4933,5,119,5057,8623,
10,DURANGO,23,POANAS,23,40,2714,1541,256,1677,383,1424,2214,180,100,143,18,6,43,28,11,7,20,59,17,3,34,3,18,,10899,2,307,11208,20285,
10,DURANGO,24,PUEBLO NUEVO,43,69,4508,6832,489,136,127,275,5025,495,,,,,15,7,3,6,3,16,3,6,17,7,59,,18029,2,420,18451,34795,
10,DURANGO,25,RODEO,19,26,515,544,988,25,50,1606,1588,147,46,10,21,32,2,0,3,2,1,4,0,3,2,1,31,,5621,1,176,5798,10074,
10,DURANGO,26,SAN BERNARDO,11,13,21,48,730,9,40,,638,29,,,,,3,2,0,2,1,2,0,0,4,2,8,,1539,31,87,1657,2703,
10,DURANGO,27,SAN DIMAS,33,42,1965,492,23,40,65,1374,3548,240,33,138,3,0,10,2,0,4,2,2,0,4,19,4,56,,8024,11,175,8210,14076,
10,DURANGO,28,SAN JUAN DE GUADALUPE,12,15,20,953,774,57,24,297,795,93,,,,,0,0,2,2,0,3,1,1,0,3,8,,3033,0,77,3110,4389,
10,DURANGO,29,SAN JUAN DEL RIO,22,27,365,3147,31,24,68,,2320,146,90,121,0,4,16,4,2,6,3,7,2,12,23,9,33,,6433,19,137,6589,10006,
